precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,1600.0,9765.0,38747.0,25145.0,103034.0,49608.0,6035.0,403153.0,6931.0,249655.0,228768.0,15724.0,34498.0,64309.0,3845.0,4225.0,101563.0,13276.0,190207.0,19187.0,17742.0,133337.0,314582.0,356547.0,51462.0,10971.0,26193.0,607304.0,32446.0,39548.0,137153.0,39664.0,26.48,37.29,100336_9598_704508,1676925689533,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1601.0,9765.0,38746.0,25132.0,102971.0,49632.0,6037.0,403524.0,6932.0,249331.0,228749.0,15725.0,34494.0,64309.0,3847.0,4224.0,101550.0,13274.0,190240.0,19185.0,17746.0,133385.0,314719.0,357669.0,51444.0,10967.0,26208.0,607392.0,32441.0,39558.0,137245.0,39655.0,26.48,37.29,100336_9598_704508,1676925690503,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1601.0,9764.0,38754.0,25127.0,103005.0,49589.0,6036.0,403847.0,6933.0,249568.0,228783.0,15722.0,34496.0,64295.0,3847.0,4224.0,101553.0,13278.0,190025.0,19186.0,17740.0,133508.0,314667.0,357328.0,51475.0,10966.0,26098.0,607413.0,32445.0,39554.0,137287.0,39685.0,26.46,37.29,100336_9598_704508,1676925691477,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1600.0,9762.0,38761.0,25145.0,103017.0,49628.0,6037.0,403636.0,6935.0,248764.0,228810.0,15726.0,34494.0,64313.0,3847.0,4223.0,101561.0,13277.0,190813.0,19183.0,17741.0,133432.0,314742.0,357078.0,51441.0,10968.0,26116.0,608315.0,32442.0,39546.0,137188.0,39677.0,26.47,37.28,100336_9598_704508,1676925692441,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1602.0,9763.0,38757.0,25152.0,102984.0,49632.0,6034.0,403868.0,6931.0,249032.0,228811.0,15722.0,34498.0,64283.0,3847.0,4225.0,101538.0,13279.0,190386.0,19183.0,17740.0,133458.0,314406.0,357423.0,51445.0,10968.0,26202.0,607855.0,32449.0,39552.0,137105.0,39694.0,26.5,37.3,100336_9598_704508,1676925693413,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1599.0,9765.0,38749.0,25147.0,103031.0,49635.0,6034.0,403905.0,6935.0,249220.0,228718.0,15723.0,34494.0,64291.0,3846.0,4226.0,101556.0,13277.0,190239.0,19183.0,17739.0,133335.0,314498.0,357163.0,51466.0,10966.0,26175.0,607526.0,32449.0,39544.0,137100.0,39674.0,26.48,37.29,100336_9598_704508,1676925694390,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1602.0,9765.0,38749.0,25160.0,102988.0,49644.0,6036.0,404394.0,6933.0,249153.0,228853.0,15723.0,34500.0,64296.0,3845.0,4225.0,101544.0,13276.0,190587.0,19183.0,17742.0,133368.0,314578.0,357169.0,51412.0,10966.0,26153.0,606741.0,32438.0,39549.0,137009.0,39685.0,26.47,37.27,100336_9598_704508,1676925695364,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1601.0,9764.0,38749.0,25148.0,102980.0,49623.0,6035.0,404622.0,6936.0,249256.0,228729.0,15722.0,34506.0,64296.0,3845.0,4226.0,101551.0,13274.0,190279.0,19184.0,17736.0,133479.0,314486.0,357415.0,51416.0,10966.0,26176.0,606622.0,32450.0,39554.0,137144.0,39687.0,26.47,37.27,100336_9598_704508,1676925696328,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1600.0,9763.0,38746.0,25145.0,102951.0,49641.0,6031.0,403800.0,6933.0,249047.0,228748.0,15722.0,34504.0,64294.0,3848.0,4223.0,101550.0,13276.0,190272.0,19183.0,17742.0,133540.0,314623.0,356891.0,51465.0,10967.0,26112.0,607152.0,32437.0,39558.0,137206.0,39690.0,26.48,37.27,100336_9598_704508,1676925697303,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1602.0,9763.0,38752.0,25147.0,102988.0,49659.0,6034.0,404907.0,6935.0,249554.0,228795.0,15720.0,34496.0,64283.0,3845.0,4225.0,101558.0,13276.0,190314.0,19184.0,17740.0,133491.0,314581.0,357231.0,51477.0,10966.0,26168.0,607045.0,32436.0,39559.0,137166.0,39673.0,26.5,37.26,100336_9598_704508,1676925698276,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
