RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,14646,935314,235201,634002,101642,58695,24407,376597,67828,450238,2000000,69240,10559,598713,132367,218324,168328,175272,139116,193804,218215,116135,32360,147906,27883,163127,34396,18052,1185809,611149,87106,103462,21.94,33.19,1001.81,118738.4,-1,baseline
2000000,14625,934367,234762,634179,101709,58590,24432,376321,67830,450574,2000000,69293,10543,599010,132213,218220,168214,175273,139103,193774,218148,116041,32329,147830,27879,163262,34368,18084,1186059,611045,87193,103474,21.93,33.2,1001.84,119069.76,-1,baseline
2000000,14662,937959,235054,633609,101689,58547,24445,376253,67848,450293,2000000,69266,10581,599343,132280,219059,168182,175260,139094,193892,218153,116098,32359,147641,27868,163083,34409,18047,1174522,610885,87149,103535,21.93,33.2,1001.83,118738.4,-1,baseline
2000000,14657,938409,235600,633867,101765,58643,24446,376386,67863,451074,2000000,69247,10573,598968,132277,219818,168235,175186,139203,193653,218528,116216,32347,147526,27891,163141,34416,18093,1194874,610904,87186,103595,21.92,33.19,1001.8,119152.89,-1,baseline
2000000,14664,934790,235499,634301,101775,58659,24473,376374,67854,450691,2000000,69295,10572,598625,132332,218949,168100,175550,139171,193764,218284,116172,32337,147646,27900,163158,34407,18095,1196873,610904,87149,103499,21.91,33.19,1001.79,118903.85,-1,baseline
2000000,14655,937222,235178,634696,101745,58677,24427,376396,67813,450637,2000000,69266,10566,598334,132241,219198,168254,175445,139158,193596,218314,116124,32367,147509,27872,163478,34392,18065,1219980,610856,87124,103506,21.92,33.2,1001.83,118738.4,-1,baseline
2000000,14678,938760,235727,634197,101743,58673,24440,376699,67819,450985,2000000,69324,10584,599194,132245,219836,168120,175260,139210,193637,218357,116042,32361,147398,27859,163270,34374,18081,1185936,610907,87166,103542,21.91,33.18,1001.83,119069.76,-1,baseline
2000000,14653,939119,236216,634182,101755,58681,24427,376668,67888,449726,2000000,69271,10563,598789,132307,219079,168028,175306,139187,193600,218329,116129,32358,147392,27857,163310,34392,18077,1210057,610803,87105,103530,21.91,33.18,1001.8,118738.4,-1,baseline
2000000,14641,938797,235706,634167,101706,58604,24429,376715,67851,450046,2000000,69228,10540,599420,132188,219334,168218,175162,139142,193573,218229,116204,32362,147362,27868,163429,34386,18088,1193732,610748,87161,103540,21.9,33.18,1001.79,118655.85,-1,baseline
2000000,14662,934698,235624,633986,101685,58702,24441,376570,67853,450865,2000000,69258,10554,598562,132192,219264,168077,175289,139183,193591,218251,116161,32376,147351,27841,163130,34392,18072,1172185,610668,87142,103526,21.9,33.18,1001.77,118986.75,-1,baseline
2000000,14648,938313,235911,634857,101751,58672,24473,376497,67856,450239,2000000,69268,10561,598835,132247,219434,168251,175297,139155,193767,218260,116193,32366,147180,27873,163193,34384,18061,1194626,610518,87134,103533,21.89,33.18,1001.77,118821.07,-1,baseline
2000000,14694,938592,236014,633458,101691,58651,24422,376388,67835,451830,2000000,69245,10572,599496,132296,219176,168276,175196,139204,193610,218251,116095,32324,147128,27834,163237,34367,18077,1219106,610489,87132,103538,21.9,33.19,1001.81,118738.4,-1,baseline
2000000,14646,938809,235649,634167,101680,58636,24439,376577,67820,450814,2000000,69276,10568,599273,132319,219590,168111,175317,139283,193584,218255,116080,32371,147158,27855,163117,34408,18074,1203368,610513,87140,103473,21.89,33.18,1001.82,119069.76,-1,baseline
2000000,14653,938973,235940,633606,101744,58619,24434,376559,67831,450103,2000000,69293,10591,599453,132120,219458,168244,175558,139150,193748,218353,116209,32398,147008,27898,163174,34411,18058,1209724,610510,87132,103517,21.89,33.19,1001.82,119402.98,-1,baseline
2000000,14652,939215,235774,634076,101700,58649,24441,376674,67879,451351,2000000,69300,10551,599309,132131,219329,168153,175793,139152,193676,218421,116069,32343,147027,27861,163255,34393,18061,1199510,610424,87100,103479,21.89,33.19,1001.79,119069.76,-1,baseline
2000000,14664,941539,236063,633315,101679,58630,24443,376620,67893,450856,2000000,69286,10573,599398,132115,219818,168226,175401,139158,193709,218374,116034,32404,147020,27897,163254,34413,18095,1218614,610500,87114,103533,21.89,33.19,1001.79,118986.75,-1,baseline
2000000,14655,939231,236283,633604,101667,58613,24459,376423,67913,450399,2000000,69231,10554,599833,132182,219734,168381,175467,139149,193797,218169,116101,32398,146916,27922,163205,34416,18097,1205832,610468,87152,103532,21.89,33.2,1001.82,118655.85,-1,baseline
2000000,14675,941653,235689,633839,101656,58700,24463,376258,67860,450540,2000000,69236,10547,598935,132208,219498,168098,175229,139152,193658,218169,116122,32373,146964,27873,163136,34377,18077,1216739,610273,87160,103531,21.89,33.19,1001.78,118986.75,-1,baseline
2000000,14673,938355,235301,633995,101863,58714,24450,376656,67891,450814,2000000,69225,10570,599386,132226,220155,168232,175449,139152,193742,218230,116159,32407,146821,27892,163499,34391,18072,1218151,610168,87177,103520,21.89,33.2,1001.81,118738.4,-1,baseline
2000000,14680,938160,236106,633747,101865,58641,24453,376491,67884,450084,2000000,69271,10547,598796,132181,219791,168249,175285,139252,193790,218281,116186,32382,146823,27909,163234,34401,18095,1188513,610206,87156,103475,21.89,33.19,1001.8,119069.76,-1,baseline
2000000,14691,938776,235439,634007,101776,58748,24468,376631,67854,450887,2000000,69228,10582,599548,132193,219490,168202,175470,139223,193848,218228,116128,32398,146721,27879,163317,34431,18100,1195390,610165,87181,103502,21.9,33.19,1001.83,119152.89,-1,baseline
2000000,14662,938155,235459,633705,101704,58710,24464,376394,67898,450876,2000000,69272,10575,599114,132137,219900,168189,175472,139174,193708,218332,116134,32402,146760,27866,163294,34415,18072,1224247,610101,87109,103518,21.9,33.19,1001.82,119069.76,-1,baseline
2000000,14673,939130,235826,633408,101733,58669,24470,376416,67895,451135,2000000,69261,10570,599439,132089,218962,168356,175658,139157,193566,218283,116131,32397,146701,27863,163297,34413,18081,1225601,610002,87155,103555,21.91,33.2,1001.8,118821.07,-1,baseline
2000000,14707,938671,235569,632781,101750,58679,24505,376604,67889,450892,2000000,69326,10588,599189,132158,219604,168336,175512,139204,193699,218270,116112,32374,146617,27911,163275,34420,18077,1219858,609908,87166,103498,21.91,33.2,1001.82,118326.78,-1,baseline
2000000,14689,940045,234826,633110,101785,58711,24492,376409,67890,450905,2000000,69277,10572,599171,132224,219880,168423,175428,139230,193584,218127,116227,32392,146545,27870,163355,34411,18090,1215305,609926,87144,103471,21.92,33.2,1001.81,119069.76,-1,baseline
2000000,14701,939737,234510,633382,101818,58768,24455,376173,67864,450724,2000000,69223,10568,598925,131964,219155,168350,175533,139148,193520,218216,116186,32407,146564,27906,163323,34436,18104,1222518,609933,87119,103554,21.93,33.2,1001.84,118986.75,-1,baseline
2000000,14698,939040,235675,633462,101817,58740,24486,376470,67848,450697,2000000,69255,10586,598731,131966,218981,168243,175610,139173,193827,218363,116081,32423,146601,27889,163381,34427,18088,1206428,609937,87099,103548,21.93,33.2,1001.83,119236.14,-1,baseline
2000000,14676,940719,236591,632765,101957,58735,24484,376707,67886,449457,2000000,69312,10599,598795,132186,219412,168212,175643,139204,193727,218176,116167,32393,146543,27870,163075,34417,18057,1205501,609869,87087,103508,21.93,33.21,1001.81,119236.14,-1,baseline
2000000,14671,940962,235947,632782,101897,58759,24477,376477,67912,451053,2000000,69292,10584,598890,132229,217869,168227,175397,139160,193823,218109,116074,32383,146418,27856,163261,34394,18074,1222667,609799,87096,103520,21.94,33.2,1001.84,119069.76,-1,baseline
2000000,14698,940158,235491,632880,101846,58710,24491,376910,67901,450131,2000000,69245,10552,598575,132250,218842,168121,175312,139221,193794,218252,116098,32387,146292,27916,163315,34419,18118,1214711,609849,87119,103529,21.94,33.2,1001.8,118821.07,-1,baseline
2000000,14669,940108,236007,632824,101797,58657,24477,377053,67879,450530,2000000,69233,10593,599171,132172,220136,168298,175398,139238,193731,218362,116166,32400,146278,27891,163086,34429,18102,1218245,609861,87112,103535,21.95,33.19,1001.82,118491.09,-1,baseline
2000000,14685,941001,236139,632457,101867,58696,24468,376802,67892,451780,2000000,69271,10593,598217,132218,219262,168464,175293,139203,193757,218373,116148,32408,146246,27897,163259,34411,18082,1216327,609798,87107,103506,21.95,33.22,1001.82,118986.75,-1,baseline
2000000,14664,938614,235694,632300,101807,58718,24482,376652,67866,449893,2000000,69208,10568,598218,132286,219145,168322,175513,139158,193779,218183,115987,32402,146227,27879,163177,34409,18066,1219497,609459,87145,103480,21.96,33.2,1001.82,118821.07,-1,baseline
2000000,14668,939139,236778,632363,101828,58696,24461,376561,67894,449687,2000000,69216,10565,598813,132108,218827,168184,175262,139195,193757,218135,116147,32411,146027,27900,163281,34417,18077,1220054,609439,87127,103532,21.96,33.21,1001.82,119236.14,-1,baseline
2000000,14675,940926,237281,632117,101752,58655,24446,376728,67874,450461,2000000,69225,10531,598504,132130,219048,168254,175510,139203,193743,218344,116123,32355,146021,27870,163153,34390,18034,1220035,609352,87143,103492,21.96,33.22,1001.82,119236.14,-1,baseline
2000000,14685,937883,237188,632134,101833,58754,24462,376511,67894,450567,2000000,69190,10559,598288,132202,219945,168348,175564,139288,193717,218267,116126,32422,146087,27888,163140,34398,18080,1204148,609278,87082,103474,21.97,33.18,1001.84,118573.41,-1,baseline
