precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,4834.0,444458.0,5508.0,226317.0,174096.0,5120.0,65420.0,146804.0,7396.0,206001.0,22074.0,43096.0,32905.0,309987.0,11312.0,45323.0,285993.0,12712.0,116436.0,12688.0,89065.0,26848.0,6817.0,175758.0,88698.0,99690.0,37805.0,43931.0,31015.0,378652.0,20167.0,15760.0,25.06,29.72,100139_3637_0700807,1676936262456,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4836.0,444443.0,5510.0,226079.0,174143.0,5123.0,65492.0,146758.0,7397.0,205981.0,22059.0,43072.0,32908.0,310117.0,11311.0,45327.0,285787.0,12710.0,116437.0,12692.0,89061.0,26855.0,6816.0,175863.0,88680.0,99734.0,37802.0,43936.0,31009.0,378599.0,20167.0,15767.0,25.05,29.71,100139_3637_0700807,1676936264397,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4839.0,443991.0,5512.0,226070.0,174051.0,5126.0,65463.0,147038.0,7390.0,206121.0,22055.0,43095.0,32920.0,310046.0,11316.0,45310.0,285765.0,12713.0,116468.0,12692.0,89079.0,26856.0,6813.0,175948.0,88676.0,99689.0,37809.0,43962.0,30976.0,378658.0,20167.0,15771.0,25.04,29.71,100139_3637_0700807,1676936265368,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4836.0,444638.0,5513.0,226017.0,174266.0,5119.0,65506.0,146624.0,7393.0,205869.0,22057.0,43099.0,32905.0,310031.0,11311.0,45311.0,285431.0,12712.0,116496.0,12686.0,89066.0,26843.0,6815.0,175839.0,88672.0,99723.0,37814.0,43953.0,31005.0,378677.0,20168.0,15762.0,25.02,29.69,100139_3637_0700807,1676936267310,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4840.0,444466.0,5513.0,226041.0,174223.0,5119.0,65475.0,146924.0,7396.0,205711.0,22066.0,43101.0,32910.0,309989.0,11318.0,45329.0,285913.0,12709.0,116551.0,12689.0,89059.0,26847.0,6814.0,175957.0,88674.0,99632.0,37812.0,43937.0,31000.0,378603.0,20170.0,15769.0,25.03,29.69,100139_3637_0700807,1676936268281,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4837.0,443717.0,5512.0,226264.0,174199.0,5121.0,65579.0,146504.0,7398.0,205979.0,22054.0,43081.0,32912.0,309975.0,11314.0,45317.0,286233.0,12719.0,116585.0,12687.0,89091.0,26820.0,6814.0,175963.0,88681.0,99656.0,37822.0,43982.0,30957.0,378622.0,20167.0,15769.0,25.03,29.68,100139_3637_0700807,1676936269252,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4835.0,443643.0,5507.0,225640.0,174166.0,5120.0,65459.0,146472.0,7395.0,205740.0,22062.0,43096.0,32910.0,309997.0,11314.0,45330.0,285892.0,12717.0,116476.0,12686.0,89094.0,26807.0,6813.0,175960.0,88651.0,99629.0,37825.0,43942.0,30966.0,378646.0,20163.0,15764.0,25.03,29.67,100139_3637_0700807,1676936270223,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4834.0,444624.0,5514.0,226105.0,174213.0,5118.0,65543.0,146711.0,7394.0,205779.0,22064.0,43075.0,32912.0,309940.0,11311.0,45348.0,285743.0,12712.0,116527.0,12688.0,89051.0,26820.0,6816.0,175713.0,88681.0,99620.0,37825.0,43937.0,30987.0,378735.0,20166.0,15768.0,25.05,29.69,100139_3637_0700807,1676936271194,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4841.0,444118.0,5510.0,226153.0,174061.0,5117.0,65523.0,146862.0,7395.0,205932.0,22065.0,43101.0,32902.0,309934.0,11309.0,45348.0,285962.0,12716.0,116425.0,12687.0,89100.0,26821.0,6814.0,175866.0,88661.0,99670.0,37833.0,43918.0,30987.0,378665.0,20165.0,15763.0,25.03,29.68,100139_3637_0700807,1676936272165,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4834.0,444252.0,5512.0,226191.0,174060.0,5122.0,65426.0,146763.0,7393.0,205649.0,22055.0,43083.0,32908.0,309990.0,11310.0,45333.0,285834.0,12714.0,116505.0,12686.0,89085.0,26819.0,6816.0,175804.0,88714.0,99587.0,37825.0,43957.0,31011.0,378747.0,20167.0,15767.0,25.04,29.68,100139_3637_0700807,1676936273136,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4836.0,444679.0,5513.0,226263.0,174088.0,5119.0,65485.0,146870.0,7390.0,205666.0,22059.0,43078.0,32904.0,309990.0,11309.0,45337.0,285793.0,12707.0,116329.0,12685.0,89084.0,26852.0,6817.0,175714.0,88695.0,99649.0,37820.0,43965.0,30976.0,378619.0,20171.0,15765.0,25.03,29.67,100139_3637_0700807,1676936274107,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4840.0,444313.0,5513.0,225940.0,174192.0,5123.0,65425.0,146698.0,7398.0,205869.0,22054.0,43067.0,32901.0,309969.0,11309.0,45328.0,285743.0,12711.0,116425.0,12686.0,89062.0,26828.0,6813.0,175921.0,88668.0,99604.0,37823.0,43950.0,31041.0,378603.0,20163.0,15763.0,25.05,29.68,100139_3637_0700807,1676936275072,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4834.0,444697.0,5509.0,226241.0,174199.0,5119.0,65472.0,146692.0,7394.0,205894.0,22062.0,43063.0,32905.0,309953.0,11310.0,45337.0,286198.0,12716.0,116454.0,12688.0,89059.0,26849.0,6814.0,175681.0,88684.0,99627.0,37828.0,43952.0,31013.0,378651.0,20163.0,15758.0,25.04,29.7,100139_3637_0700807,1676936276042,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4838.0,444481.0,5510.0,226296.0,174129.0,5117.0,65536.0,146969.0,7394.0,206028.0,22052.0,43061.0,32905.0,310085.0,11313.0,45328.0,285819.0,12712.0,116413.0,12691.0,89067.0,26848.0,6812.0,175716.0,88703.0,99618.0,37822.0,43963.0,30981.0,378565.0,20164.0,15769.0,25.01,29.68,100139_3637_0700807,1676936277014,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4841.0,444228.0,5514.0,225972.0,174213.0,5118.0,65432.0,146827.0,7394.0,205773.0,22062.0,43090.0,32909.0,310002.0,11313.0,45341.0,285928.0,12717.0,116461.0,12685.0,89071.0,26845.0,6811.0,175673.0,88649.0,99657.0,37825.0,43942.0,31044.0,378517.0,20161.0,15767.0,25.04,29.68,100139_3637_0700807,1676936277985,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4836.0,444532.0,5513.0,225989.0,173991.0,5120.0,65501.0,146945.0,7393.0,206036.0,22053.0,43092.0,32910.0,310128.0,11315.0,45334.0,286153.0,12713.0,116336.0,12687.0,89071.0,26849.0,6809.0,175713.0,88698.0,99654.0,37821.0,43955.0,31022.0,378636.0,20164.0,15766.0,25.02,29.69,100139_3637_0700807,1676936278956,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4831.0,444321.0,5506.0,225833.0,174001.0,5115.0,65578.0,146603.0,7395.0,205822.0,22065.0,43074.0,32902.0,309979.0,11313.0,45340.0,286157.0,12712.0,116441.0,12689.0,89035.0,26843.0,6815.0,175799.0,88658.0,99676.0,37817.0,43960.0,30960.0,378664.0,20159.0,15773.0,25.02,29.67,100139_3637_0700807,1676936279927,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4837.0,444363.0,5510.0,225842.0,174208.0,5117.0,65479.0,146667.0,7394.0,206100.0,22056.0,43080.0,32907.0,310036.0,11308.0,45285.0,285794.0,12715.0,116507.0,12686.0,89044.0,26848.0,6815.0,175725.0,88683.0,99644.0,37816.0,43959.0,30980.0,378547.0,20172.0,15767.0,25.03,29.7,100139_3637_0700807,1676936280887,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
