RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,14684,950228,235082,606246,105201,58231,24125,379872,67703,458599,2000000,74670,10542,619444,139302,217781,159906,172307,137545,194179,220516,116383,32300,154452,27507,159683,34121,18543,1031421,650621,85913,103708,22.7,36.55,998.31,105785.12,-1,baseline
2000000,14682,951444,234756,605604,105147,58195,24130,380250,67715,457655,2000000,74662,10547,619549,139260,218009,159925,172352,137518,194293,220586,116461,32329,154544,27457,159756,34111,18517,1030874,650619,85957,103743,22.72,36.57,998.3,106444.9,-1,baseline
2000000,14692,951685,234810,605879,105048,58149,24138,380029,67696,458093,2000000,74585,10552,619423,139417,217409,159855,172210,137459,194297,220678,116411,32313,154540,27493,159647,34088,18536,1040057,650677,85892,103745,22.72,36.55,998.29,106378.55,-1,baseline
2000000,14668,952632,234862,605613,105177,58137,24130,379931,67709,458229,2000000,74592,10561,619379,139381,217465,159843,172293,137578,194177,220657,116418,32345,154596,27510,159782,34130,18524,1034025,650639,85951,103797,22.71,36.54,998.26,106048.05,-1,baseline
2000000,14691,951283,235099,605544,105236,58163,24123,379922,67706,458528,2000000,74623,10551,618882,139310,217950,159939,172357,137564,194342,220775,116341,32304,154546,27469,159679,34116,18495,1017693,650582,85896,103706,22.71,36.54,998.27,105916.42,-1,baseline
2000000,14685,952149,234800,605960,105086,58273,24123,379776,67703,458582,2000000,74633,10575,619369,139315,218621,159890,172201,137536,194220,220471,116362,32338,154555,27468,159830,34127,18538,1019316,650593,85896,103715,22.71,36.53,998.26,106644.44,-1,baseline
2000000,14707,951135,234802,605719,105171,58161,24141,379806,67719,458863,2000000,74631,10584,619583,139303,218238,159851,172327,137570,194182,220557,116324,32356,154504,27471,159795,34131,18522,1027435,650687,85951,103724,22.71,36.54,998.28,106378.55,-1,baseline
2000000,14671,949862,235021,605174,105196,58180,24121,379837,67705,458238,2000000,74625,10573,619326,139472,218303,159842,172107,137620,194192,220686,116408,32324,154434,27476,159811,34114,18538,1027375,650623,85945,103756,22.71,36.54,998.28,105850.73,-1,baseline
2000000,14687,953125,234782,605211,105199,58164,24119,380051,67707,458377,2000000,74589,10558,620033,139422,218758,159848,172163,137610,194124,220979,116432,32309,154396,27462,159978,34098,18513,1036861,650537,85932,103733,22.71,36.51,998.29,106444.9,-1,baseline
2000000,14676,950896,234638,605062,105186,58257,24119,380248,67730,459214,2000000,74640,10577,619623,139337,219007,159806,172138,137682,194143,220643,116470,32316,154401,27516,160137,34154,18561,1035859,650606,85955,103759,22.72,36.53,998.31,105850.73,-1,baseline
2000000,14721,950668,234548,604871,105046,58222,24143,380124,67676,458750,2000000,74636,10591,619298,139428,218635,159684,172155,137558,194280,220535,116458,32350,154451,27475,159950,34147,18534,1027447,650719,85957,103734,22.72,36.52,998.29,106577.85,-1,baseline
2000000,14715,951973,234548,605702,104906,58212,24118,379830,67660,459443,2000000,74647,10552,619023,139571,218830,159822,172064,137630,194215,220777,116349,32311,154490,27484,160018,34105,18524,1024286,650749,85933,103706,22.72,36.53,998.28,106113.99,-1,baseline
