RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,17565,216648,25797,1136,43762,74558,11777,296710,5718,84773,2000000,415741,3573,701705,5419,93557,23884,87680,36065,124339,176644,68455,11278,65229,8077,22610,5288,11391,88095,599210,348891,180619,22.7,33.26,1000.97,167429.68,-1,baseline
2000000,17561,217014,25810,1154,43723,74511,11748,296713,5693,84748,2000000,417171,3580,701080,5385,93957,23883,87677,36051,124367,176678,68441,11271,65122,8094,22638,5282,11405,88090,599516,348979,180605,22.7,33.19,1000.99,167758.84,-1,baseline
2000000,17554,217239,25835,1127,43755,74526,11778,296503,5709,84767,2000000,418274,3580,701188,5378,93357,23896,87916,36044,124384,176557,68425,11250,65090,8084,22626,5289,11339,88031,600473,348883,180681,22.68,33.14,1001.02,168089.29,-1,baseline
2000000,17561,217297,25785,1106,43704,74579,11752,296535,5711,84764,2000000,416665,3582,701219,5380,93638,23876,87752,36036,124418,176442,68430,11253,65083,8082,22617,5298,11364,88073,599773,348627,180640,22.66,33.1,1000.99,167923.9,-1,baseline
2000000,17556,217082,25815,1140,43736,74638,11794,296405,5691,84769,2000000,417408,3570,702075,5387,93819,23895,87825,36039,124494,176365,68395,11280,65091,8089,22619,5266,11352,88024,600183,348747,180628,22.65,33.06,1001.01,167758.84,-1,baseline
2000000,17559,217084,25805,1104,43691,74545,11750,296297,5707,84763,2000000,418282,3566,702299,5400,93690,23875,87807,36058,124351,176422,68430,11269,65086,8103,22658,5296,11380,88073,601068,349540,180653,22.64,33.02,1001.03,168421.04,-1,baseline
2000000,17554,216740,25825,1097,43718,74626,11757,296405,5709,84794,2000000,418545,3565,701061,5410,93978,23885,87800,36069,124366,176446,68401,11257,65055,8086,22641,5279,11382,88090,600521,349322,180622,22.63,32.99,1001.03,167923.9,-1,baseline
2000000,17557,216764,25817,1136,43717,74701,11766,296414,5711,84767,2000000,417649,3598,700506,5348,93419,23867,87729,36056,124434,176314,68403,11242,64922,8061,22634,5277,11346,88079,601147,349189,180615,22.63,32.97,1001.03,169424.21,-1,baseline
2000000,17543,217024,25790,1103,43724,74630,11741,296313,5705,84761,2000000,417154,3533,700558,5375,93827,23860,87748,36010,124454,176268,68432,11228,64947,8045,22625,5268,11312,88016,601506,349271,180571,22.62,32.93,1001.03,168754.12,-1,baseline
2000000,17509,217005,25798,1115,43744,74604,11789,296343,5700,84758,2000000,418608,3557,701468,5355,93455,23883,87755,36041,124369,176222,68418,11260,64863,8082,22643,5302,11359,88021,600190,349245,180579,22.61,32.91,1001.05,169088.5,-1,baseline
2000000,17522,216821,25794,1124,43739,74670,11738,296331,5703,84774,2000000,418190,3568,702176,5410,93548,23865,87824,36060,124396,176165,68476,11257,64912,8066,22626,5297,11362,88033,600809,348860,180642,22.6,32.89,1001.05,168921.14,-1,baseline
2000000,17532,217171,25819,1099,43720,74668,11729,296349,5675,84694,2000000,419100,3607,701636,5400,93687,23892,87774,36026,124350,176259,68502,11271,64946,8084,22633,5298,11332,88048,601259,348900,180670,22.59,32.89,1001.05,168754.12,-1,baseline
2000000,17543,216642,25805,1071,43746,74624,11711,296441,5688,84707,2000000,419206,3573,700386,5392,93511,23863,87732,36048,124347,176159,68429,11235,64819,8045,22622,5298,11357,88046,601450,348532,180643,22.58,32.86,1001.04,169592.57,-1,baseline
2000000,17541,216693,25819,1096,43742,74643,11739,296349,5689,84682,2000000,418271,3549,700034,5369,93631,23861,87779,36046,124307,176192,68419,11275,64837,8073,22649,5270,11341,88072,601619,348998,180636,22.57,32.85,1001.07,169592.57,-1,baseline
2000000,17554,216833,25814,1112,43710,74644,11743,296282,5656,84706,2000000,418897,3561,701128,5366,93746,23870,87835,36053,124347,176137,68390,11239,64800,8054,22623,5254,11318,87794,602289,348850,180655,22.57,32.85,1001.05,169761.26,-1,baseline
2000000,17520,216576,25789,1110,43726,74552,11750,296344,5696,84743,2000000,419286,3561,700415,5391,93489,23858,87845,36044,124373,176170,68417,11260,64884,8084,22616,5286,11328,87860,601453,348380,180712,22.56,32.83,1001.05,169761.26,-1,baseline
2000000,17525,216514,25797,1110,43705,74653,11743,296303,5684,84698,2000000,419466,3596,700878,5412,93838,23915,87830,36074,124548,176132,68488,11271,64838,8109,22652,5293,11350,87841,600190,348702,180646,22.55,32.82,1001.04,170269.37,-1,baseline
2000000,17538,216769,25801,1113,43744,74657,11764,296356,5721,84714,2000000,418072,3603,701436,5416,93530,23894,87815,36075,124463,176088,68472,11273,64784,8123,22675,5307,11360,87799,600864,348838,180527,22.54,32.82,1000.99,170780.51,-1,baseline
2000000,17517,216363,25843,1099,43719,74588,11759,296218,5670,84668,2000000,417659,3568,701246,5409,93548,23865,87943,36069,124343,175957,68410,11275,64735,8082,22641,5281,11359,87871,600415,348436,180629,22.53,32.81,1000.99,170780.51,-1,baseline
2000000,17522,216863,25818,1108,43710,74623,11718,296330,5682,84699,2000000,418353,3559,700318,5389,93542,23890,87935,36093,124360,176041,68418,11242,64665,8064,22624,5282,11337,87867,600341,349001,180527,22.53,32.8,1001.03,170439.42,-1,baseline
2000000,17531,216608,25829,1106,43708,74612,11743,296323,5703,84680,2000000,417815,3559,701319,5366,93104,23865,87888,36053,124450,175862,68393,11203,64675,8059,22615,5274,11327,87773,601126,348967,180633,22.53,32.8,1001.02,169930.29,-1,baseline
2000000,17509,216177,25785,1117,43733,74654,11736,296219,5682,84691,2000000,417459,3536,701148,5366,93464,23877,87927,36032,124454,175923,68453,11239,64686,8080,22634,5259,11321,87806,600474,348782,180640,22.52,32.78,1001.04,170609.79,-1,baseline
2000000,17500,216482,25787,1099,43715,74684,11756,296344,5687,84694,2000000,419341,3557,700995,5387,93635,23881,87838,36048,124373,175946,68418,11255,64626,8070,22650,5281,11337,87771,601119,348675,180642,22.51,32.77,1001.02,170951.59,-1,baseline
2000000,17540,216689,25803,1142,43739,74634,11741,296619,5677,84652,2000000,418970,3524,701321,5364,93758,23856,87968,36084,124374,175899,68427,11232,64620,8059,22607,5252,11289,87758,600455,348284,180769,22.51,32.77,1001.0,170780.51,-1,baseline
2000000,17509,216385,25794,1108,43734,74671,11768,296456,5721,84754,2000000,422022,3559,701483,5380,93778,23876,88075,36089,124490,176007,68418,11235,64706,8063,22627,5258,11348,87791,602225,348188,180659,22.5,32.77,1001.04,171294.75,-1,baseline
2000000,17531,216432,25798,1135,43686,74648,11739,296563,5702,84725,2000000,420863,3566,701858,5366,93938,23886,88082,36077,124361,176034,68461,11255,64775,8096,22615,5295,11346,87806,601813,349018,180672,22.49,32.78,1001.01,170951.59,-1,baseline
2000000,17506,216367,25765,1076,43697,74601,11736,296460,5689,84727,2000000,421011,3552,700156,5362,93274,23872,87957,36075,124427,176094,68429,11225,64728,8077,22632,5261,11330,87734,601805,348387,180665,22.49,32.8,1001.0,171123.0,-1,baseline
2000000,17541,216614,25830,1117,43730,74692,11757,296497,5737,84715,2000000,420146,3568,700298,5389,93659,23886,87992,36102,124365,175993,68458,11244,64678,8073,22582,5298,11312,87782,600812,348020,180631,22.49,32.82,1001.03,171123.0,-1,baseline
2000000,17529,216513,25819,1136,43744,74582,11766,296343,5728,84752,2000000,420762,3566,700270,5375,93588,23886,87983,36071,124436,176064,68429,11235,64627,8066,22621,5293,11328,87821,601083,349157,180631,22.5,32.82,1001.04,170439.42,-1,baseline
2000000,17506,216702,25844,1092,43712,74592,11748,296554,5700,84694,2000000,420817,3545,701565,5394,93709,23876,87954,36074,124363,176124,68452,11246,64632,8101,22624,5298,11346,87792,600599,348749,180627,22.48,32.81,1001.02,171294.75,-1,baseline
2000000,17561,216677,25807,1119,43713,74492,11734,296430,5689,84728,2000000,420661,3577,701993,5369,93531,23877,87939,36086,124389,176029,68412,11280,64572,8084,22631,5284,11342,87843,601514,349360,180653,22.48,32.82,1001.06,171123.0,-1,baseline
2000000,17529,216029,25803,1113,43727,74645,11764,296428,5682,84665,2000000,419995,3591,701589,5384,93849,23883,87961,36074,124336,176020,68429,11237,64486,8096,22671,5289,11335,87884,601347,348895,180676,22.47,32.81,1001.09,171812.07,-1,baseline
2000000,17563,216088,25871,1145,43766,74591,11764,296322,5689,84750,2000000,419861,3580,700773,5410,93549,23913,87953,36065,124372,176004,68481,11248,64538,8093,22658,5304,11348,87857,602389,348614,180850,22.46,32.81,1001.09,170951.59,-1,baseline
2000000,17541,216493,25796,1154,43726,74728,11770,296236,5723,84717,2000000,421131,3547,701193,5421,93640,23924,88129,36070,124336,176121,68471,11269,64634,8093,22631,5297,11341,87863,601973,348401,180727,22.45,32.8,1001.11,171123.0,-1,baseline
