RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,14710,944278,235339,607148,103856,58574,24298,378395,67748,453413,2000000,73720,10581,608908,135871,221204,159777,172030,138651,193979,219157,116929,32440,144397,27730,160628,34362,18380,1065625,636204,86308,103576,22.83,34.85,999.09,109729.96,-1,baseline
2000000,14714,946260,235289,607531,103884,58624,24332,378295,67712,453708,2000000,73767,10623,608983,135878,221158,159795,172114,138601,193925,219165,116828,32444,144322,27757,160642,34397,18387,1069136,636187,86303,103465,22.82,34.86,999.11,110083.85,-1,baseline
2000000,14705,947646,235529,607685,103901,58492,24279,378164,67772,453083,2000000,73723,10559,608683,135775,220795,159726,171944,138641,193951,219124,116876,32466,144329,27743,160728,34402,18384,1066103,636242,86356,103481,22.82,34.86,999.1,110297.28,-1,baseline
2000000,14707,945555,235322,607805,103808,58578,24286,378072,67767,454271,2000000,73788,10582,608197,135803,221015,159906,172137,138686,194050,219195,116787,32435,144392,27736,160954,34409,18418,1069594,636308,86355,103535,22.82,34.86,999.1,110154.9,-1,baseline
2000000,14696,946469,235300,607402,103870,58559,24262,378131,67704,452036,2000000,73794,10551,609377,135784,221286,159851,172025,138588,194012,219147,116772,32419,144369,27695,160478,34389,18394,1052662,636284,86288,103482,22.81,34.85,999.12,109871.24,-1,baseline
2000000,14698,947584,235191,607675,103778,58653,24300,377988,67745,453636,2000000,73777,10556,608827,135890,222118,159802,171930,138579,193894,219077,116882,32450,144174,27712,160372,34384,18391,1058525,636305,86305,103548,22.8,34.87,999.12,110226.04,-1,baseline
2000000,14694,946523,234741,607294,103819,58523,24307,378269,67735,454039,2000000,73808,10598,609202,135679,221517,159790,171742,138606,194001,218947,116806,32449,144201,27729,160505,34371,18393,1064179,636428,86317,103516,22.79,34.84,999.1,110154.9,-1,baseline
2000000,14687,947169,234926,608195,103858,58513,24293,378650,67709,452782,2000000,73842,10572,608732,135903,221981,159686,171922,138590,194089,219061,116837,32443,144239,27709,160391,34367,18372,1063147,636492,86344,103481,22.78,34.86,999.11,110226.04,-1,baseline
2000000,14675,946227,234251,607480,103866,58585,24279,378364,67708,453345,2000000,73820,10574,608663,135690,222265,159759,171912,138713,194111,219225,116839,32426,144217,27707,160391,34389,18377,1059120,636605,86323,103561,22.77,34.86,999.12,109871.24,-1,baseline
2000000,14714,947116,234829,607745,103866,58657,24316,378330,67732,453420,2000000,73823,10588,608738,135918,221793,159790,171984,138590,194027,219044,117043,32485,144219,27709,160518,34389,18388,1062974,636618,86315,103479,22.78,34.89,999.13,110440.03,-1,baseline
2000000,14723,945862,234606,607866,103868,58585,24313,378336,67764,454009,2000000,73855,10593,607966,135887,221455,159761,171841,138706,194014,218923,116929,32465,144121,27762,160234,34418,18405,1068336,636626,86296,103504,22.78,34.88,999.12,110154.9,-1,baseline
2000000,14712,948728,235437,608654,103798,58536,24304,378521,67749,453150,2000000,73803,10570,609122,135875,221304,159863,171728,138659,194115,219113,116909,32476,144149,27737,160308,34396,18391,1065891,636574,86289,103515,22.77,34.9,999.07,110083.85,-1,baseline
2000000,14689,948813,234833,608494,103768,58595,24257,378312,67748,454009,2000000,73827,10561,609254,135835,220692,159786,171580,138621,193906,218976,116747,32415,144107,27701,160333,34358,18363,1064117,636599,86222,103524,22.76,34.91,999.1,109942.02,-1,baseline
2000000,14677,948652,234639,607927,103929,58527,24273,378488,67762,453670,2000000,73817,10574,608721,135971,221642,159834,171885,138643,194147,219003,116894,32438,144183,27703,160456,34388,18411,1058725,636590,86238,103471,22.76,34.9,999.08,109729.96,-1,baseline
2000000,14685,945903,235345,607924,103897,58511,24261,378381,67720,452650,2000000,73874,10559,609116,135770,221318,159771,171788,138687,194024,218951,116897,32452,144215,27718,160376,34376,18407,1062187,636673,86276,103519,22.74,34.9,999.07,109800.55,-1,baseline
2000000,14691,943954,234760,608611,103799,58535,24279,378850,67731,453268,2000000,73884,10565,609041,135899,221146,159962,171641,138741,194150,218813,116894,32440,144170,27709,160411,34427,18413,1053503,636679,86268,103535,22.74,34.91,999.07,110440.03,-1,baseline
2000000,14691,946151,234926,608130,103976,58508,24309,378706,67784,453443,2000000,73855,10545,608609,135944,221550,159897,171849,138669,194126,219022,116882,32455,144177,27717,160339,34400,18413,1057661,636702,86326,103506,22.72,34.92,999.11,110440.03,-1,baseline
2000000,14694,949028,234629,608296,103864,58486,24318,378352,67763,453531,2000000,73902,10593,608785,136022,222652,159704,171795,138658,194117,219049,116900,32426,144160,27707,160455,34404,18409,1057840,636770,86346,103547,22.71,34.93,999.06,110511.54,-1,baseline
2000000,14721,949751,235245,607884,103964,58538,24302,378849,67754,453252,2000000,73869,10577,609361,135749,221602,159779,172084,138687,194128,218996,116839,32416,144116,27680,160707,34413,18404,1065924,636759,86315,103570,22.7,34.93,999.06,110440.03,-1,baseline
2000000,14703,946184,235810,607926,103868,58494,24271,378627,67784,452646,2000000,73945,10583,609578,135950,221422,159793,171895,138733,193962,219203,116882,32467,144095,27721,160576,34390,18366,1068625,636954,86311,103554,22.69,34.92,999.1,109729.96,-1,baseline
2000000,14687,943833,235260,607910,103814,58411,24268,378937,67726,453572,2000000,73898,10579,609457,135847,221962,160064,172136,138719,194054,219005,116812,32439,144213,27723,160846,34402,18404,1069662,636929,86294,103534,22.68,34.93,999.05,110440.03,-1,baseline
2000000,14646,947275,235371,608448,103909,58483,24272,378950,67715,455062,2000000,73919,10549,609004,136035,221279,159976,172022,138672,194065,219226,116882,32448,144187,27732,160506,34367,18395,1069205,636918,86301,103557,22.68,34.94,999.06,110226.04,-1,baseline
2000000,14682,945200,235094,607463,103845,58512,24299,378831,67734,454752,2000000,73942,10551,609298,135924,221142,159973,171866,138689,193947,219133,116866,32475,144093,27763,160757,34411,18416,1060175,637019,86366,103560,22.67,34.95,999.04,110798.53,-1,baseline
2000000,14663,947167,235296,607424,103820,58496,24261,378747,67753,454162,2000000,73965,10591,609964,135907,222149,159770,172066,138686,194032,219154,116905,32457,144151,27702,160813,34395,18409,1064163,637070,86310,103554,22.67,34.96,999.05,110726.64,-1,baseline
2000000,14664,948376,234744,607693,103880,58563,24266,378766,67760,453637,2000000,73997,10591,609898,135857,222229,159796,172151,138695,193989,218947,116854,32455,144131,27722,160840,34408,18409,1071154,637179,86347,103507,22.66,34.97,999.03,110798.53,-1,baseline
2000000,14680,950016,234895,608041,103897,58504,24265,378634,67723,453232,2000000,73936,10563,609445,136015,221616,159712,172051,138626,194197,219009,116858,32441,144177,27729,160989,34415,18400,1073417,637141,86292,103543,22.66,34.98,998.98,110654.85,-1,baseline
2000000,14694,948885,235190,607326,103845,58570,24275,378705,67721,453887,2000000,73961,10565,609833,135862,221539,159709,171794,138747,194095,219037,116960,32471,144122,27734,160980,34408,18425,1070093,637189,86328,103526,22.66,34.99,998.97,110870.5,-1,baseline
2000000,14689,948457,235127,608167,103960,58582,24286,378700,67750,453894,2000000,73987,10565,608621,135920,221635,159774,171990,138709,194119,219254,116947,32478,144150,27743,160795,34409,18455,1067460,637336,86332,103504,22.66,34.99,998.97,110583.15,-1,baseline
2000000,14714,950692,235243,606724,103915,58596,24305,378677,67788,453022,2000000,74003,10604,609091,135957,221577,159853,172111,138745,194114,219104,116872,32457,144137,27741,160889,34415,18411,1058915,637270,86339,103561,22.66,34.99,998.98,110654.85,-1,baseline
2000000,14689,947951,234858,606977,103815,58648,24281,378550,67757,452661,2000000,73930,10602,608382,135970,221420,159890,172061,138718,194106,218854,116873,32429,144089,27698,160615,34395,18427,1063913,637261,86321,103566,22.66,35.01,998.97,110368.61,-1,baseline
2000000,14655,947904,235629,607233,103813,58532,24293,378519,67746,453475,2000000,73960,10586,609052,135916,221571,159737,171875,138670,194216,219096,116964,32473,144097,27726,160898,34434,18457,1068827,637271,86391,103505,22.66,35.01,998.96,110511.54,-1,baseline
2000000,14701,950723,235692,607403,103901,58517,24305,378694,67725,452724,2000000,74025,10595,608469,135985,221430,159976,172006,138704,194093,218972,116972,32491,144129,27741,160745,34421,18437,1063951,637275,86344,103585,22.65,35.0,998.96,110083.85,-1,baseline
2000000,14705,948228,235616,608218,103891,58537,24282,378349,67743,453274,2000000,73993,10604,607955,135838,221532,159885,172098,138706,194071,219135,116919,32484,144058,27718,160936,34428,18413,1067366,637185,86351,103540,22.66,35.03,998.96,110654.85,-1,baseline
2000000,14700,947840,235493,607372,103841,58526,24293,378591,67709,453715,2000000,74027,10606,608822,135881,221266,159904,172017,138726,194180,219049,116923,32491,144151,27721,161168,34402,18403,1056320,637255,86324,103536,22.65,35.03,998.96,111014.74,-1,baseline
2000000,14680,947295,235451,607608,103870,58546,24280,378916,67736,453545,2000000,73957,10581,609326,136025,220567,159920,171893,138754,194253,218929,116978,32491,144147,27744,160977,34401,18455,1064402,637264,86306,103564,22.64,35.04,998.98,111014.74,-1,baseline
2000000,14705,951755,235304,607286,103897,58558,24311,379021,67723,451927,2000000,74003,10586,609017,135875,221638,159920,171888,138847,194200,218985,116855,32488,144106,27717,161013,34399,18429,1061478,637212,86347,103624,22.65,35.05,998.98,110583.15,-1,baseline
2000000,14717,947797,235322,606900,103959,58621,24316,378542,67747,453679,2000000,74005,10584,608897,135914,222322,159837,172148,138626,194142,218987,116958,32451,144073,27748,160982,34420,18430,1063919,637298,86363,103562,22.64,35.05,998.99,111014.74,-1,baseline
2000000,14700,951914,234932,607659,103834,58627,24322,378917,67744,454571,2000000,73991,10584,609043,135856,221603,159941,172006,138720,194182,218913,116980,32484,144103,27695,160940,34388,18415,1060811,637388,86344,103562,22.64,35.05,998.96,110368.61,-1,baseline
2000000,14701,948766,235054,608144,103942,58578,24311,378647,67744,453819,2000000,74085,10600,609218,136000,221283,159994,172159,138734,194153,218916,116842,32463,144146,27744,160853,34388,18432,1065801,637483,86385,103559,22.64,35.07,998.98,110226.04,-1,baseline
