precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,4842.0,447808.0,5512.0,228608.0,174152.0,5129.0,65444.0,146913.0,7396.0,208220.0,22190.0,43200.0,32913.0,311072.0,11373.0,45524.0,285571.0,12707.0,116531.0,12697.0,89075.0,26834.0,6817.0,179497.0,89438.0,99711.0,37906.0,44997.0,30318.0,382599.0,20173.0,15769.0,24.95,31.09,100139_3637_0700807,1676935794192,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4834.0,447970.0,5511.0,228988.0,173960.0,5122.0,65498.0,147187.0,7392.0,208322.0,22190.0,43181.0,32908.0,311080.0,11372.0,45486.0,285237.0,12706.0,116485.0,12698.0,89057.0,26827.0,6811.0,179354.0,89436.0,99729.0,37915.0,44994.0,30316.0,382549.0,20167.0,15768.0,24.97,31.03,100139_3637_0700807,1676935796134,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4841.0,447354.0,5512.0,228706.0,174001.0,5122.0,65412.0,147056.0,7400.0,208405.0,22185.0,43190.0,32912.0,311019.0,11373.0,45504.0,285453.0,12707.0,116609.0,12693.0,89060.0,26808.0,6813.0,179292.0,89447.0,99671.0,37910.0,44953.0,30373.0,382451.0,20171.0,15778.0,24.96,30.97,100139_3637_0700807,1676935797099,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4837.0,447455.0,5516.0,228393.0,173941.0,5123.0,65505.0,147225.0,7395.0,208168.0,22166.0,43165.0,32917.0,310940.0,11367.0,45495.0,285534.0,12708.0,116537.0,12692.0,89064.0,26835.0,6815.0,179235.0,89456.0,99721.0,37917.0,44945.0,30426.0,382379.0,20169.0,15776.0,24.97,30.97,100139_3637_0700807,1676935798070,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4836.0,446940.0,5510.0,228426.0,174075.0,5118.0,65568.0,147224.0,7395.0,208361.0,22170.0,43162.0,32911.0,310963.0,11365.0,45505.0,285690.0,12704.0,116444.0,12694.0,89049.0,26833.0,6814.0,179313.0,89448.0,99739.0,37917.0,44937.0,30388.0,382267.0,20175.0,15775.0,24.98,30.92,100139_3637_0700807,1676935799040,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4837.0,447051.0,5513.0,228420.0,174049.0,5118.0,65485.0,147210.0,7394.0,208351.0,22178.0,43159.0,32922.0,310815.0,11363.0,45535.0,285596.0,12706.0,116435.0,12692.0,89067.0,26816.0,6811.0,179183.0,89419.0,99718.0,37924.0,44910.0,30326.0,382181.0,20175.0,15768.0,24.95,30.89,100139_3637_0700807,1676935800011,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4836.0,447088.0,5510.0,228377.0,174012.0,5121.0,65456.0,147148.0,7393.0,208194.0,22162.0,43184.0,32916.0,310912.0,11363.0,45522.0,285728.0,12709.0,116451.0,12689.0,89103.0,26819.0,6813.0,179240.0,89399.0,99779.0,37921.0,44901.0,30397.0,382135.0,20171.0,15776.0,24.95,30.87,100139_3637_0700807,1676935800972,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4838.0,447713.0,5509.0,228208.0,173944.0,5122.0,65465.0,146947.0,7395.0,208068.0,22160.0,43184.0,32914.0,310798.0,11361.0,45542.0,285446.0,12705.0,116487.0,12693.0,89095.0,26825.0,6816.0,179389.0,89410.0,99793.0,37917.0,44886.0,30288.0,382089.0,20168.0,15773.0,24.98,30.84,100139_3637_0700807,1676935801942,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4838.0,447317.0,5510.0,228420.0,174114.0,5125.0,65457.0,147073.0,7396.0,208263.0,22149.0,43174.0,32907.0,310885.0,11363.0,45511.0,285366.0,12704.0,116400.0,12695.0,89105.0,26815.0,6815.0,179301.0,89364.0,99800.0,37925.0,44889.0,30263.0,382023.0,20165.0,15768.0,24.98,30.81,100139_3637_0700807,1676935802912,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4836.0,447325.0,5513.0,228403.0,174064.0,5118.0,65440.0,147006.0,7395.0,208238.0,22164.0,43177.0,32917.0,310887.0,11360.0,45526.0,285150.0,12709.0,116583.0,12691.0,89063.0,26817.0,6817.0,179091.0,89364.0,99758.0,37925.0,44854.0,30280.0,381983.0,20174.0,15771.0,24.96,30.79,100139_3637_0700807,1676935803883,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4840.0,447301.0,5514.0,228160.0,174044.0,5121.0,65481.0,147234.0,7393.0,208060.0,22158.0,43162.0,32915.0,310817.0,11362.0,45485.0,284958.0,12709.0,116460.0,12693.0,89085.0,26841.0,6815.0,179248.0,89358.0,99721.0,37914.0,44862.0,30242.0,381960.0,20171.0,15766.0,24.95,30.78,100139_3637_0700807,1676935804854,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
