precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,4870.0,471890.0,5522.0,223236.0,174969.0,5145.0,66025.0,148503.0,7420.0,217062.0,23352.0,43804.0,32987.0,317061.0,11777.0,46718.0,289842.0,12793.0,117527.0,12705.0,89345.0,27201.0,6901.0,189994.0,91855.0,100332.0,39891.0,54449.0,28077.0,423758.0,20208.0,15781.0,25.51,32.93,100139_3637_0700807,1676926186396,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4873.0,471873.0,5519.0,223252.0,174933.0,5147.0,65996.0,148474.0,7413.0,217207.0,23360.0,43817.0,32990.0,316998.0,11777.0,46717.0,289632.0,12796.0,117423.0,12706.0,89323.0,27208.0,6900.0,189939.0,91824.0,100238.0,39868.0,54456.0,28052.0,423788.0,20207.0,15785.0,25.51,32.95,100139_3637_0700807,1676926188328,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4872.0,471785.0,5523.0,223154.0,174952.0,5149.0,66010.0,148569.0,7419.0,217313.0,23364.0,43819.0,32980.0,317068.0,11772.0,46735.0,289570.0,12795.0,117491.0,12709.0,89338.0,27208.0,6899.0,189895.0,91830.0,100266.0,39870.0,54483.0,28038.0,423912.0,20205.0,15784.0,25.49,32.97,100139_3637_0700807,1676926189299,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4875.0,471562.0,5522.0,223238.0,174976.0,5153.0,66051.0,148350.0,7417.0,217166.0,23366.0,43822.0,32977.0,317050.0,11780.0,46730.0,289684.0,12798.0,117488.0,12706.0,89355.0,27201.0,6903.0,190064.0,91880.0,100321.0,39901.0,54504.0,28059.0,424068.0,20207.0,15783.0,25.49,32.97,100139_3637_0700807,1676926190270,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4870.0,471818.0,5527.0,223270.0,175113.0,5142.0,66003.0,148380.0,7417.0,217054.0,23361.0,43838.0,32979.0,317026.0,11779.0,46728.0,289707.0,12797.0,117535.0,12713.0,89360.0,27210.0,6901.0,190050.0,91861.0,100285.0,39888.0,54494.0,28017.0,424163.0,20211.0,15783.0,25.5,33.01,100139_3637_0700807,1676926191230,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4875.0,471749.0,5521.0,223020.0,174884.0,5146.0,66021.0,148526.0,7415.0,217372.0,23357.0,43848.0,32989.0,317188.0,11781.0,46731.0,289729.0,12796.0,117519.0,12702.0,89346.0,27189.0,6902.0,190269.0,91851.0,100215.0,39906.0,54510.0,28021.0,424150.0,20211.0,15780.0,25.48,33.04,100139_3637_0700807,1676926192192,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4872.0,471759.0,5520.0,222919.0,175083.0,5150.0,65972.0,148313.0,7418.0,217417.0,23360.0,43836.0,32972.0,317005.0,11784.0,46739.0,289962.0,12800.0,117382.0,12705.0,89357.0,27201.0,6904.0,190220.0,91849.0,100234.0,39883.0,54500.0,27986.0,424009.0,20204.0,15786.0,25.5,33.05,100139_3637_0700807,1676926193162,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4876.0,471695.0,5523.0,223466.0,175141.0,5147.0,66018.0,148445.0,7418.0,217359.0,23370.0,43832.0,32979.0,317074.0,11782.0,46740.0,289565.0,12797.0,117442.0,12705.0,89346.0,27195.0,6901.0,190150.0,91847.0,100225.0,39907.0,54539.0,28000.0,424240.0,20202.0,15781.0,25.51,33.08,100139_3637_0700807,1676926194135,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4874.0,472575.0,5522.0,223589.0,175113.0,5146.0,65972.0,148504.0,7416.0,217189.0,23383.0,43831.0,32977.0,317230.0,11787.0,46751.0,289887.0,12801.0,117452.0,12706.0,89369.0,27218.0,6902.0,190031.0,91872.0,100286.0,39907.0,54568.0,28077.0,424521.0,20204.0,15785.0,25.53,33.12,100139_3637_0700807,1676926195106,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4878.0,471766.0,5522.0,223122.0,174925.0,5153.0,66033.0,148561.0,7417.0,217416.0,23380.0,43835.0,32983.0,317198.0,11785.0,46747.0,289797.0,12800.0,117401.0,12709.0,89346.0,27192.0,6905.0,189957.0,91882.0,100273.0,39919.0,54633.0,28037.0,424571.0,20205.0,15780.0,25.5,33.15,100139_3637_0700807,1676926196076,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
