RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,17615,219981,25683,1104,43330,74566,11654,299009,5663,84609,2000000,452048,3536,712461,5618,93476,22818,87987,36017,124564,177221,68969,11237,70651,7507,22335,5321,11262,94702,628747,349288,181914,22.27,36.19,998.55,156958.92,-1,baseline
2000000,17665,220276,25728,1133,43374,74580,11707,298355,5726,84642,2000000,452340,3573,712821,5622,93223,22801,88147,36029,124557,177144,68968,11226,70669,7500,22353,5327,11264,94625,628661,349204,181877,22.27,36.19,998.59,156097.56,-1,baseline
2000000,17655,220281,25721,1150,43407,74678,11679,298427,5702,84629,2000000,452513,3573,713516,5678,93410,22827,88145,36051,124402,177216,68964,11244,70639,7542,22360,5325,11269,94566,628252,349349,181932,22.28,36.19,998.58,156814.7,-1,baseline
2000000,17629,220014,25696,1113,43375,74618,11673,298571,5668,84655,2000000,451861,3572,713475,5627,93180,22799,88094,36031,124433,177099,68959,11228,70654,7493,22330,5348,11290,94752,627556,349985,181936,22.28,36.2,998.55,156240.46,-1,baseline
2000000,17674,220682,25754,1129,43374,74581,11670,298735,5671,84610,2000000,452139,3577,712647,5630,93092,22817,88145,35975,124600,177203,68931,11235,70580,7491,22292,5305,11260,94719,628125,349299,181889,22.28,36.19,998.54,157248.15,-1,baseline
2000000,17681,220161,25761,1122,43374,74625,11698,298602,5700,84681,2000000,451671,3557,711760,5652,93021,22826,88205,36036,124550,177111,68951,11244,70638,7507,22317,5323,11249,94611,626675,350020,181959,22.28,36.19,998.54,156670.75,-1,baseline
2000000,17658,220233,25714,1131,43358,74635,11659,298830,5677,84617,2000000,451557,3527,713037,5609,93202,22771,88126,36022,124464,177045,68929,11210,70643,7500,22334,5309,11258,94639,627981,350217,182030,22.29,36.19,998.56,157829.84,-1,baseline
2000000,17603,220421,25673,1113,43376,74633,11636,298994,5663,84601,2000000,452542,3557,712240,5609,92749,22775,88152,35975,124504,177067,68952,11237,70677,7500,22324,5284,11248,94604,625942,349454,181972,22.29,36.19,998.56,156958.92,-1,baseline
2000000,17635,220375,25715,1140,43350,74674,11641,298462,5677,84635,2000000,452101,3526,713335,5597,93115,22816,88206,35966,124421,177107,68910,11248,70648,7502,22306,5288,11255,94626,627923,349411,181978,22.3,36.18,998.56,156670.75,-1,baseline
2000000,17642,220275,25684,1126,43350,74590,11657,299081,5655,84573,2000000,452195,3501,712151,5579,93070,22774,88128,36005,124488,177127,68924,11224,70655,7505,22331,5298,11257,94551,627506,349627,181915,22.3,36.17,998.58,156958.92,-1,baseline
2000000,17642,220257,25727,1113,43345,74677,11654,298793,5686,84608,2000000,452963,3550,712674,5613,93017,22789,88104,35989,124451,177158,68890,11207,70642,7496,22332,5302,11225,94548,627593,350281,181903,22.3,36.17,998.56,157103.4,-1,baseline
2000000,17674,220224,25736,1138,43350,74715,11664,299082,5695,84635,2000000,452556,3511,712379,5641,93049,22789,88153,36054,124511,177123,68949,11244,70654,7500,22298,5305,11276,94537,627454,350198,181909,22.3,36.18,998.55,156958.92,-1,baseline
2000000,17590,220278,25678,1122,43329,74729,11655,298582,5629,84558,2000000,452405,3517,712543,5615,93134,22765,88040,36018,124560,177088,68899,11219,70628,7470,22296,5281,11223,94594,627503,349738,181861,22.31,36.18,998.54,157248.15,-1,baseline
