RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,17579,217810,25734,1034,43508,74466,11587,297819,5678,84537,2000000,478685,3545,700952,5506,91918,22841,87911,36056,124374,175761,69024,11260,67949,7601,22364,5275,10996,88686,611561,349757,181282,22.74,33.81,999.36,165161.29,-1,baseline
2000000,17579,218205,25687,1027,43504,74546,11571,297831,5689,84576,2000000,479644,3541,702239,5503,92124,22859,87919,36087,124225,175782,69019,11239,67992,7621,22409,5266,10960,88693,611084,349849,181257,22.75,33.8,999.35,164842.23,-1,baseline
2000000,17570,217940,25729,1066,43517,74368,11580,298183,5647,84586,2000000,479502,3557,702531,5543,92318,22836,87922,36090,124358,175715,68988,11242,67977,7633,22407,5311,11013,88764,611043,350416,181246,22.74,33.79,999.36,164842.23,-1,baseline
2000000,17605,218202,25714,1062,43534,74397,11575,298060,5696,84574,2000000,479380,3529,702613,5506,92154,22868,87969,36046,124437,175735,69052,11240,68000,7632,22402,5275,10989,88711,611575,349481,181276,22.74,33.8,999.31,164842.23,-1,baseline
2000000,17574,218619,25689,1044,43490,74345,11551,297934,5655,84582,2000000,479287,3520,701847,5515,92073,22873,87894,36094,124388,175811,69073,11258,68006,7635,22403,5293,11008,88670,611655,349630,181319,22.74,33.82,999.31,164842.23,-1,baseline
2000000,17599,218254,25736,1059,43485,74472,11601,297970,5691,84561,2000000,479764,3572,701830,5527,92175,22864,87917,36060,124384,175746,69033,11251,67979,7605,22423,5334,10999,88773,612550,349157,181269,22.74,33.82,999.34,165161.29,-1,baseline
2000000,17625,217721,25765,1104,43512,74406,11596,297962,5709,84604,2000000,480583,3568,702202,5549,92163,22877,87900,36098,124442,175756,69039,11271,67987,7628,22445,5321,11035,88712,609425,349422,181322,22.74,33.81,999.33,164842.23,-1,baseline
2000000,17617,218202,25750,1064,43526,74481,11614,297860,5714,84595,2000000,481130,3563,702301,5531,92274,22875,87904,36102,124309,175774,69066,11283,67999,7683,22425,5293,11007,88694,612442,349508,181301,22.75,33.82,999.35,164842.23,-1,baseline
2000000,17617,218799,25723,1108,43523,74475,11603,297970,5719,84607,2000000,481715,3550,700749,5531,92334,22884,87886,36131,124341,175911,69063,11274,68031,7648,22440,5320,11026,88713,611848,349512,181333,22.74,33.81,999.32,164524.42,-1,baseline
2000000,17552,218631,25746,1087,43521,74427,11562,297961,5684,84552,2000000,479994,3538,701565,5511,92724,22872,87867,36060,124276,175795,69003,11224,67955,7616,22384,5268,10989,88719,611684,350003,181314,22.75,33.83,999.37,164207.82,-1,baseline
