RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,14664,944777,235459,581906,102326,58495,24367,377413,67820,449925,2000000,73850,10582,603336,133782,222063,165559,174085,138906,193697,218719,116361,32364,130936,27727,162878,34419,18034,1094078,620215,86987,103496,22.25,34.32,1000.45,117836.59,-1,baseline
2000000,14694,943062,235221,582999,102381,58611,24362,377289,67821,449515,2000000,73786,10551,603559,133777,220991,165671,173986,138797,193754,218662,116308,32389,131007,27700,162914,34420,18038,1083157,620103,87048,103508,22.27,34.31,1000.47,117350.44,-1,baseline
2000000,14655,943686,235718,582775,102288,58624,24375,377520,67805,449227,2000000,73769,10575,603312,133711,221658,165609,174134,138886,193807,218576,116418,32400,130984,27699,163023,34437,18038,1086885,619955,87000,103437,22.26,34.3,1000.48,117836.59,-1,baseline
2000000,14690,943279,235422,582675,102358,58625,24370,377444,67805,450184,2000000,73719,10570,603594,133710,219720,165428,173898,138880,193611,218444,116302,32396,130968,27721,163010,34438,18014,1077743,619834,87055,103423,22.27,34.3,1000.48,117189.28,-1,baseline
2000000,14680,943885,235279,582340,102358,58640,24349,377508,67856,449358,2000000,73724,10582,602978,133813,222809,165595,174080,138961,193550,218479,116362,32398,130862,27739,163092,34404,18039,1093704,619654,87033,103435,22.26,34.3,1000.47,117512.04,-1,baseline
2000000,14667,944737,234958,582204,102358,58627,24383,377611,67870,449817,2000000,73728,10591,603000,133827,220204,165378,173960,138838,193743,218462,116351,32428,130932,27731,163064,34431,18073,1088117,619612,87043,103444,22.27,34.29,1000.47,117918.0,-1,baseline
2000000,14682,945939,235003,582540,102316,58617,24381,377710,67871,448323,2000000,73748,10584,602557,133749,222892,165558,174148,138830,193659,218634,116444,32420,130871,27719,163002,34433,18032,1091580,619660,87033,103418,22.27,34.31,1000.46,117431.19,-1,baseline
2000000,14685,945270,234482,582914,102373,58586,24367,377831,67821,449401,2000000,73841,10570,602535,133906,220468,165633,174158,138834,193820,218524,116364,32416,130939,27723,163085,34458,18075,1107857,619975,86995,103459,22.27,34.32,1000.47,117350.44,-1,baseline
2000000,14707,944166,234463,582219,102387,58645,24399,377468,67821,448198,2000000,73794,10561,602153,133651,219393,165597,174115,138850,193857,218543,116389,32463,130921,27730,163069,34458,18064,1088907,620058,87044,103440,22.27,34.3,1000.46,117108.87,-1,baseline
2000000,14690,946341,234875,582131,102369,58675,24386,377439,67903,449162,2000000,73803,10573,602251,133872,220631,165617,174327,138792,193846,218549,116356,32410,130898,27724,163099,34445,18068,1083517,619834,87060,103417,22.28,34.3,1000.5,117431.19,-1,baseline
2000000,14715,946277,234768,582032,102283,58580,24394,377444,67876,448656,2000000,73807,10602,602326,133955,219656,165530,174369,138743,193610,218452,116328,32398,130979,27736,163106,34461,18075,1092691,619991,87064,103447,22.28,34.3,1000.47,118162.93,-1,baseline
2000000,14660,942477,234583,581802,102310,58589,24394,377268,67865,448849,2000000,74081,10609,603338,133937,220186,165632,174468,138859,193742,218429,116416,32414,131057,27762,162943,34442,18068,1087435,620242,87050,103435,22.28,34.3,1000.47,118081.17,-1,baseline
2000000,14703,944879,234791,582318,102311,58514,24386,377324,67865,449145,2000000,73786,10618,602696,133689,220761,165630,174277,138869,193670,218542,116427,32394,130955,27750,162905,34420,18036,1089108,619799,87028,103437,22.29,34.31,1000.52,117999.53,-1,baseline
2000000,14690,945433,234749,582522,102306,58675,24417,377200,67881,449810,2000000,73812,10596,602137,133820,219883,165651,174354,138900,193726,218622,116319,32424,130953,27772,163045,34464,18087,1092943,619761,87037,103431,22.29,34.3,1000.5,117593.01,-1,baseline
2000000,14698,945263,234608,582369,102376,58517,24399,377103,67852,449262,2000000,73810,10591,602365,133860,221299,165794,174225,138850,193572,218553,116305,32387,130918,27770,162982,34442,18064,1089286,619665,87065,103461,22.29,34.31,1000.49,117189.28,-1,baseline
2000000,14690,944516,234836,582348,102426,58552,24404,377421,67897,450391,2000000,73788,10613,602765,133888,221707,165697,174135,138929,193701,218512,116490,32427,130926,27771,163035,34447,18075,1084388,619625,87066,103470,22.28,34.31,1000.51,117350.44,-1,baseline
2000000,14692,944491,234025,582146,102319,58627,24395,377082,67903,449072,2000000,73716,10586,602576,133845,221025,165645,174051,138828,193622,218684,116347,32426,130854,27775,163167,34456,18085,1089306,619591,87064,103484,22.29,34.32,1000.5,117350.44,-1,baseline
2000000,14733,944017,234643,582423,102366,58669,24424,377252,67908,449827,2000000,73769,10639,602200,133934,221198,165667,174246,138956,193754,218619,116304,32430,130945,27744,163011,34443,18080,1090327,619584,87055,103444,22.29,34.31,1000.48,117350.44,-1,baseline
2000000,14660,945640,234805,582152,102300,58631,24381,376771,67894,448999,2000000,73690,10623,602622,133755,222881,165717,174110,138867,193664,218544,116287,32403,130889,27725,163033,34429,18041,1085367,619443,87020,103409,22.29,34.31,1000.49,118162.93,-1,baseline
2000000,14673,944059,234947,581170,102388,58591,24376,377403,67890,448603,2000000,73755,10595,602415,133824,224116,165793,174360,138912,193693,218353,116421,32420,130844,27737,163007,34406,18047,1085894,619496,87057,103460,22.29,34.31,1000.47,117189.28,-1,baseline
2000000,14701,946537,234835,581670,102258,58599,24390,377399,67882,448526,2000000,73734,10586,602749,133803,222804,165743,174202,138829,193677,218628,116283,32398,130874,27757,163091,34452,18069,1088974,619408,87073,103484,22.3,34.31,1000.49,117108.87,-1,baseline
2000000,14685,943798,235034,581586,102347,58648,24376,377136,67853,448883,2000000,73713,10593,603338,133704,222726,165600,173989,138894,193684,218602,116366,32405,130877,27732,162961,34428,18034,1088500,619371,87053,103431,22.3,34.29,1000.49,118081.17,-1,baseline
2000000,14685,944458,234797,581254,102262,58602,24415,376964,67911,449003,2000000,73721,10593,602531,133785,220618,165418,174170,138935,193758,218599,116368,32426,130840,27746,163001,34443,18071,1084286,619322,87048,103481,22.3,34.29,1000.48,117431.19,-1,baseline
2000000,14694,945026,234507,581258,102270,58564,24408,377258,67868,449225,2000000,73703,10593,602761,133851,220613,165583,174194,138850,193573,218508,116480,32373,130768,27725,163067,34460,18030,1093547,619259,87031,103495,22.3,34.27,1000.47,118326.78,-1,baseline
2000000,14669,947374,234807,581369,102394,58568,24383,377168,67869,449418,2000000,73687,10589,602305,133814,219883,165568,174166,138844,193568,218430,116301,32401,130856,27745,163191,34437,18068,1096881,619238,87050,103487,22.3,34.27,1000.49,117108.87,-1,baseline
2000000,14682,947326,234011,581605,102387,58578,24390,377419,67875,449058,2000000,73702,10584,602698,133887,222186,165651,174134,138888,193675,218610,116333,32416,130794,27736,163033,34472,18084,1081376,619318,87051,103430,22.3,34.28,1000.49,117431.19,-1,baseline
2000000,14691,946025,234404,581390,102306,58670,24363,377223,67891,448553,2000000,73743,10581,602775,133873,220625,165678,174262,138852,193657,218653,116324,32405,130804,27746,163026,34442,18041,1089451,619078,87028,103414,22.31,34.26,1000.49,117431.19,-1,baseline
2000000,14680,947494,234482,580703,102328,58665,24415,377211,67892,449907,2000000,73714,10586,602490,133743,221448,165761,174367,138810,193773,218435,116313,32389,130819,27748,162883,34440,18064,1094549,619131,87091,103447,22.3,34.26,1000.5,117999.53,-1,baseline
2000000,14712,946367,234635,581650,102406,58631,24439,377319,67949,448943,2000000,73765,10629,602321,133702,220105,165774,174162,138883,193781,218349,116238,32412,130840,27757,163023,34447,18066,1086669,619292,87079,103460,22.3,34.27,1000.47,117512.04,-1,baseline
2000000,14685,946587,234217,581881,102425,58613,24408,377292,67906,449459,2000000,73757,10618,602525,133603,219686,165724,174320,138908,193671,218485,116376,32400,130807,27787,163134,34462,18096,1092557,619200,87083,103497,22.3,34.25,1000.49,117593.01,-1,baseline
2000000,14705,946911,234312,581503,102284,58668,24410,377151,67912,448490,2000000,73666,10581,602397,133686,219721,165640,174265,138814,193735,218509,116285,32421,130755,27727,162979,34418,18018,1087008,619063,86985,103487,22.3,34.24,1000.5,117028.57,-1,baseline
2000000,14675,945846,233987,581157,102291,58607,24417,377310,67868,447553,2000000,73714,10588,602176,133635,221643,165791,174371,138840,193653,218455,116316,32369,130761,27743,162950,34444,18064,1081996,619088,87013,103444,22.3,34.23,1000.51,117755.28,-1,baseline
2000000,14690,945543,234376,581556,102440,58702,24376,377144,67849,448790,2000000,73745,10584,602552,133627,220733,165641,174278,138848,193688,218487,116324,32389,130808,27750,162978,34428,18046,1094274,619140,86987,103445,22.3,34.25,1000.51,117350.44,-1,baseline
2000000,14689,945860,234530,581560,102263,58647,24382,377082,67844,448388,2000000,73679,10563,602344,133624,222727,165663,174308,138721,193719,218543,116285,32401,130777,27738,162767,34423,18054,1086179,619054,86994,103475,22.3,34.24,1000.5,117189.28,-1,baseline
2000000,14689,946034,234737,581213,102335,58700,24405,377698,67872,449330,2000000,73690,10588,602613,133742,221535,165847,174190,138755,193759,218603,116269,32398,130717,27743,162813,34452,18050,1091387,619062,87015,103483,22.31,34.23,1000.52,117189.28,-1,baseline
2000000,14687,946128,234615,581625,102323,58579,24404,377837,67914,448821,2000000,73814,10595,602181,133817,221607,165594,174289,138740,193767,218790,116322,32376,130748,27752,162833,34444,18036,1090377,619438,87039,103530,22.31,34.23,1000.49,117755.28,-1,baseline
2000000,14703,948711,234355,581935,102345,58670,24387,377469,67894,448494,2000000,73737,10598,602018,133780,221127,165498,174278,138810,193818,218661,116382,32391,130771,27789,163014,34449,18061,1086385,619375,87114,103542,22.31,34.23,1000.48,117189.28,-1,baseline
2000000,14687,945917,234190,581362,102352,58647,24404,377667,67885,448422,2000000,73718,10598,602806,133889,220844,165659,174308,138823,193795,218714,116277,32401,130734,27759,162974,34470,18062,1092303,619206,87049,103473,22.3,34.21,1000.46,117350.44,-1,baseline
2000000,14696,944345,234063,581586,102450,58633,24411,377481,67910,447975,2000000,73691,10623,601513,133800,219368,165553,174243,138842,193760,218519,116368,32411,130734,27757,162985,34437,18057,1078533,619123,87024,103470,22.3,34.21,1000.47,117350.44,-1,baseline
2000000,14696,946974,234319,581171,102430,58626,24421,377378,67863,447426,2000000,73700,10570,601808,133666,220578,165707,174335,138817,193772,218345,116314,32385,130682,27727,163013,34408,18034,1101443,619128,87006,103453,22.3,34.21,1000.49,117836.59,-1,baseline
2000000,14667,944632,234415,581503,102304,58583,24379,377649,67876,449490,2000000,73666,10581,601789,133759,222237,165500,174357,138824,193856,218524,116344,32366,130700,27758,163140,34449,18061,1092888,619043,87017,103478,22.3,34.23,1000.5,117269.81,-1,baseline
2000000,14708,944732,234874,581574,102491,58577,24380,377763,67876,449394,2000000,73722,10575,601247,133594,220714,165734,174172,138783,193808,218514,116316,32384,130740,27741,162836,34406,18046,1093588,619114,87035,103451,22.3,34.21,1000.5,117108.87,-1,baseline
2000000,14706,944707,234940,581532,102412,58581,24401,377707,67901,448677,2000000,73741,10586,601284,133651,220200,165536,174165,138740,193936,218568,116319,32414,130753,27771,162954,34436,18045,1090587,619140,87063,103466,22.3,34.21,1000.51,117431.19,-1,baseline
2000000,14678,944105,234770,581699,102301,58607,24398,377850,67876,448624,2000000,73747,10590,601767,133685,220890,165578,173961,138809,193882,218718,116355,32404,130767,27733,162996,34436,18034,1088716,619323,86981,103468,22.31,34.2,1000.49,118244.8,-1,baseline
2000000,14694,944211,234670,581690,102455,58683,24413,377526,67871,448831,2000000,73709,10600,601514,133557,220267,165574,174144,138833,193938,218618,116310,32424,130800,27766,163011,34449,18073,1097614,619297,87046,103518,22.3,34.19,1000.47,118162.93,-1,baseline
2000000,14706,945173,235065,581498,102475,58599,24395,377622,67891,449364,2000000,73690,10618,601320,133591,220215,165600,174156,138786,193830,218721,116355,32385,130717,27745,162886,34467,18048,1100143,619203,86991,103458,22.31,34.2,1000.46,117431.19,-1,baseline
2000000,14710,944516,234713,581557,102295,58588,24411,377406,67848,449122,2000000,73703,10581,601460,133508,221972,165662,173931,138812,193912,218565,116389,32421,130653,27750,163049,34456,18064,1089919,619252,86979,103461,22.31,34.21,1000.51,117836.59,-1,baseline
2000000,14731,946460,234793,581556,102517,58627,24413,377373,67905,448254,2000000,73714,10595,601585,133590,224285,165628,174299,138904,193907,218686,116310,32416,130664,27775,162839,34447,18052,1102018,619136,87026,103477,22.31,34.18,1000.47,117918.0,-1,baseline
2000000,14696,943839,234953,581211,102415,58640,24426,377445,67928,449096,2000000,73720,10612,601470,133678,221257,165522,174127,138832,193842,218654,116351,32427,130776,27766,162941,34442,18086,1095182,619119,87073,103469,22.31,34.19,1000.46,117269.81,-1,baseline
2000000,14721,942825,234999,581374,102480,58573,24392,377398,67892,450279,2000000,73734,10595,601901,133703,220673,165547,173896,138858,193736,218748,116434,32405,130747,27763,163102,34460,18031,1104176,619222,87077,103481,22.3,34.2,1000.45,117269.81,-1,baseline
2000000,14706,943874,234572,581913,102409,58611,24399,377635,67869,448517,2000000,73840,10607,602391,133713,221081,165744,173791,138739,193781,218638,116300,32396,130847,27775,163116,34437,18059,1099650,619721,87059,103516,22.3,34.17,1000.51,117269.81,-1,baseline
2000000,14696,942352,235391,581244,102442,58586,24390,377460,67902,449439,2000000,73789,10591,602565,133708,222127,165752,173992,138823,193816,218674,116292,32418,130831,27777,162836,34435,18064,1088308,619437,87058,103507,22.3,34.19,1000.51,117593.01,-1,baseline
2000000,14694,943445,234971,581936,102373,58632,24394,377426,67890,448692,2000000,73731,10602,602040,133640,222341,165724,174175,138724,193939,218673,116285,32389,130789,27744,163041,34419,18055,1092703,619348,87015,103471,22.31,34.18,1000.53,117512.04,-1,baseline
2000000,14674,942373,235130,581909,102346,58646,24387,377547,67912,448905,2000000,73701,10545,601776,133477,221839,165728,174131,138807,193882,218678,116261,32423,130766,27750,163024,34445,18029,1095484,619345,86981,103515,22.3,34.19,1000.49,117431.19,-1,baseline
2000000,14703,941007,234822,581130,102353,58516,24394,377040,67892,448838,2000000,73706,10590,602129,133692,221116,165712,174231,138813,193793,218693,116299,32367,130734,27745,163076,34469,18073,1091767,619202,87001,103523,22.3,34.19,1000.48,117431.19,-1,baseline
