RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,14678,940619,235058,623901,102351,58608,24395,376901,67874,449017,2000000,68411,10589,600561,133630,220278,168119,174760,138577,193979,218144,116004,32383,156497,27878,162868,34358,18220,1113609,620405,86955,103419,22.46,33.43,1001.08,118573.41,-1,baseline
2000000,14724,938119,234702,625113,102419,58565,24388,377028,67866,448831,2000000,68434,10580,600898,133701,220426,168042,175240,138656,193826,218050,116091,32383,156542,27867,162751,34379,18213,1114902,620413,86949,103384,22.47,33.44,1001.08,118408.88,-1,baseline
2000000,14676,938807,234844,624543,102337,58571,24397,376969,67863,449186,2000000,68430,10575,601070,133655,220102,168158,175102,138706,193703,218372,116078,32355,156413,27846,162813,34331,18235,1121015,620227,86942,103389,22.46,33.44,1001.11,117999.53,-1,baseline
2000000,14662,938297,234744,624539,102469,58527,24367,376749,67831,448544,2000000,68457,10595,600958,133739,219876,168048,174962,138700,193755,218278,116222,32352,156352,27868,162771,34376,18231,1126230,620247,86984,103449,22.46,33.41,1001.1,118081.17,-1,baseline
2000000,14714,938900,234268,624083,102354,58538,24392,377094,67854,449899,2000000,68430,10600,600456,133805,219757,168047,175277,138601,193731,218157,116058,32340,156425,27868,162908,34336,18190,1119547,620163,86980,103426,22.46,33.43,1001.08,118081.17,-1,baseline
2000000,14698,940052,234848,624147,102482,58571,24379,376726,67829,447136,2000000,68408,10590,601236,133528,220186,168216,174927,138673,193728,218122,116119,32351,156295,27850,162621,34327,18183,1132822,620014,86948,103377,22.47,33.43,1001.1,117999.53,-1,baseline
2000000,14685,941532,235037,624190,102488,58558,24369,376659,67854,447752,2000000,68398,10607,600679,133627,220573,167999,174627,138733,193706,218103,116084,32385,156181,27834,162838,34356,18206,1125526,620026,86909,103398,22.46,33.43,1001.08,118081.17,-1,baseline
2000000,14680,942563,235130,624265,102420,58552,24374,376900,67845,448584,2000000,68440,10581,601053,133599,220441,168024,174931,138637,193758,217688,116069,32342,156175,27846,162918,34317,18201,1125505,619972,86965,103388,22.47,33.42,1001.08,118162.93,-1,baseline
2000000,14694,943836,235242,625040,102480,58588,24395,376854,67853,448842,2000000,68391,10572,601013,133664,220731,168197,174527,138627,193813,217750,116135,32368,156063,27858,162780,34383,18224,1123706,620015,86928,103428,22.46,33.43,1001.09,118408.88,-1,baseline
2000000,14675,942595,234965,624676,102335,58614,24362,376867,67840,448897,2000000,68401,10590,600464,133644,220481,168093,174944,138685,193713,217830,116070,32381,156020,27848,162737,34362,18229,1123126,620086,86974,103376,22.46,33.43,1001.09,118326.78,-1,baseline
2000000,14675,943005,235326,624121,102375,58601,24378,376727,67831,448686,2000000,68410,10536,600978,133688,220652,168306,175163,138711,193770,218114,116092,32337,155971,27817,162788,34359,18201,1120076,620064,86968,103444,22.46,33.42,1001.08,118408.88,-1,baseline
2000000,14700,943277,235395,624075,102353,58620,24369,376800,67839,449218,2000000,68379,10572,600420,133549,220178,168218,175109,138571,193705,218129,116101,32364,155858,27866,162856,34349,18208,1107450,619961,86861,103389,22.46,33.42,1001.08,117999.53,-1,baseline
2000000,14708,940338,234782,624361,102308,58603,24421,377149,67837,449807,2000000,68427,10597,600745,133658,221463,168277,174973,138682,193713,218119,116072,32406,155852,27878,162970,34372,18210,1117430,619923,86974,103430,22.46,33.43,1001.1,117918.0,-1,baseline
2000000,14689,939650,234794,623714,102341,58624,24356,377128,67837,449332,2000000,68435,10598,601269,133682,221117,168168,175021,138745,193710,218027,116107,32361,155718,27874,162721,34343,18211,1120713,619966,87024,103477,22.46,33.4,1001.09,117918.0,-1,baseline
2000000,14671,940690,235203,623785,102274,58651,24390,376787,67870,449820,2000000,68410,10563,601248,133614,220950,168302,174859,138713,193837,217822,116100,32347,155712,27871,162741,34354,18181,1118271,620019,86940,103421,22.46,33.4,1001.07,118655.85,-1,baseline
2000000,14677,940800,234748,623754,102364,58561,24372,376816,67842,449640,2000000,68404,10589,601442,133552,221710,168160,175085,138588,193700,217770,116063,32371,155759,27859,162696,34326,18188,1121331,620022,86938,103406,22.46,33.43,1001.05,118821.07,-1,baseline
2000000,14669,939344,234181,624132,102328,58586,24385,377015,67871,449155,2000000,68393,10575,600923,133685,221025,168045,175299,138647,193616,217900,116001,32335,155815,27850,162772,34344,18224,1120631,620097,86916,103434,22.46,33.42,1001.07,118408.88,-1,baseline
2000000,14658,941106,234192,623975,102224,58577,24379,376652,67868,448470,2000000,68420,10577,601335,133792,219950,168279,174977,138700,193596,217999,116143,32372,155651,27835,162753,34365,18201,1135462,620176,86978,103429,22.46,33.4,1001.06,118573.41,-1,baseline
2000000,14657,938315,234434,624157,102356,58630,24385,377069,67843,449285,2000000,68415,10575,600863,133525,221956,168003,175000,138634,193681,217739,116127,32342,155559,27846,162579,34351,18181,1122205,620112,86952,103438,22.46,33.41,1001.08,118326.78,-1,baseline
2000000,14662,940732,234691,624089,102405,58586,24358,376706,67852,449833,2000000,68452,10602,600665,133600,220813,168117,174916,138607,193812,217791,116104,32367,155361,27832,162687,34356,18222,1124846,620014,86976,103377,22.45,33.4,1001.1,118244.8,-1,baseline
2000000,14667,939546,234721,623818,102421,58556,24378,376601,67806,448588,2000000,68407,10565,600543,133487,221360,168287,175172,138713,193827,217769,115959,32336,155409,27846,162719,34361,18231,1108567,619971,87018,103418,22.46,33.4,1001.09,118491.09,-1,baseline
2000000,14648,940549,234702,623639,102405,58541,24335,376720,67825,449795,2000000,68396,10566,600990,133447,221363,168198,175174,138777,193878,217639,116117,32367,155252,27862,162543,34337,18169,1128111,619890,86912,103405,22.46,33.41,1001.08,118244.8,-1,baseline
2000000,14680,939773,235194,623683,102464,58581,24355,376895,67834,448157,2000000,68434,10590,600311,133471,222559,168330,174777,138579,193753,217723,116022,32356,155089,27848,162579,34358,18210,1131682,619645,86974,103397,22.45,33.4,1001.09,118244.8,-1,baseline
2000000,14669,939414,235092,624121,102358,58652,24388,376923,67868,449487,2000000,68442,10613,600635,133425,220989,167975,175001,138591,193828,217718,116071,32385,154986,27837,162669,34340,18195,1123328,619583,87009,103427,22.46,33.4,1001.08,118655.85,-1,baseline
