precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,1609.0,9874.0,38979.0,25790.0,104327.0,50094.0,6119.0,409090.0,6949.0,254031.0,233544.0,16206.0,34615.0,64701.0,3858.0,4266.0,102612.0,13458.0,192128.0,19244.0,18077.0,135390.0,319856.0,369030.0,52358.0,11065.0,26602.0,688925.0,32845.0,40811.0,137430.0,39854.0,25.07,39.9,100336_9598_704508,1676924504340,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1608.0,9871.0,38980.0,25790.0,104367.0,50119.0,6119.0,409410.0,6947.0,254316.0,233438.0,16213.0,34615.0,64706.0,3857.0,4263.0,102608.0,13457.0,192405.0,19240.0,18081.0,135249.0,319744.0,368543.0,52411.0,11069.0,26525.0,688249.0,32844.0,40802.0,137504.0,39830.0,25.09,39.9,100336_9598_704508,1676924505315,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1610.0,9869.0,38964.0,25805.0,104374.0,50099.0,6117.0,408579.0,6949.0,253653.0,233502.0,16207.0,34627.0,64691.0,3856.0,4262.0,102606.0,13452.0,191945.0,19240.0,18071.0,135149.0,320040.0,368835.0,52402.0,11070.0,26562.0,688749.0,32848.0,40798.0,137550.0,39840.0,25.08,39.87,100336_9598_704508,1676924506291,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1608.0,9871.0,38971.0,25793.0,104401.0,50064.0,6118.0,408899.0,6948.0,253526.0,233491.0,16209.0,34618.0,64696.0,3859.0,4264.0,102617.0,13455.0,191909.0,19242.0,18074.0,135187.0,319946.0,368211.0,52400.0,11067.0,26556.0,687886.0,32844.0,40802.0,137522.0,39824.0,25.09,39.88,100336_9598_704508,1676924507266,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1607.0,9871.0,38961.0,25788.0,104389.0,50136.0,6118.0,408968.0,6945.0,253536.0,233419.0,16205.0,34619.0,64675.0,3860.0,4265.0,102616.0,13452.0,192079.0,19239.0,18080.0,135198.0,320236.0,368114.0,52444.0,11067.0,26494.0,687588.0,32844.0,40805.0,137471.0,39865.0,25.08,39.86,100336_9598_704508,1676924508241,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1610.0,9871.0,38975.0,25792.0,104412.0,50118.0,6117.0,409194.0,6948.0,253723.0,233396.0,16202.0,34620.0,64683.0,3858.0,4263.0,102600.0,13454.0,191892.0,19241.0,18071.0,135253.0,320041.0,368531.0,52396.0,11068.0,26528.0,688675.0,32839.0,40798.0,137400.0,39866.0,25.08,39.87,100336_9598_704508,1676924509216,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1610.0,9872.0,38978.0,25800.0,104387.0,50116.0,6117.0,408836.0,6947.0,253782.0,233458.0,16205.0,34614.0,64690.0,3858.0,4264.0,102597.0,13455.0,191946.0,19241.0,18074.0,135091.0,320498.0,368166.0,52401.0,11065.0,26536.0,688053.0,32837.0,40799.0,137436.0,39849.0,25.13,39.85,100336_9598_704508,1676924510191,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1609.0,9870.0,38972.0,25798.0,104424.0,50092.0,6115.0,408876.0,6946.0,254189.0,233275.0,16199.0,34605.0,64691.0,3859.0,4265.0,102606.0,13453.0,192095.0,19238.0,18072.0,135214.0,320293.0,367875.0,52395.0,11067.0,26544.0,687432.0,32841.0,40788.0,137420.0,39872.0,25.12,39.84,100336_9598_704508,1676924511166,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1608.0,9870.0,38970.0,25792.0,104426.0,50085.0,6117.0,409298.0,6948.0,254154.0,233419.0,16200.0,34619.0,64710.0,3858.0,4263.0,102601.0,13452.0,192108.0,19243.0,18072.0,135313.0,320080.0,368565.0,52397.0,11064.0,26531.0,687049.0,32849.0,40784.0,137513.0,39849.0,25.12,39.84,100336_9598_704508,1676924512142,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1609.0,9869.0,38981.0,25798.0,104401.0,50108.0,6116.0,408231.0,6947.0,254038.0,233318.0,16197.0,34609.0,64693.0,3857.0,4265.0,102602.0,13451.0,192284.0,19242.0,18072.0,135295.0,320000.0,368543.0,52397.0,11064.0,26579.0,687327.0,32845.0,40802.0,137582.0,39869.0,25.11,39.84,100336_9598_704508,1676924513117,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1607.0,9872.0,38972.0,25786.0,104420.0,50087.0,6117.0,408639.0,6948.0,254343.0,233468.0,16194.0,34614.0,64682.0,3859.0,4263.0,102595.0,13453.0,192362.0,19243.0,18069.0,135216.0,320157.0,369530.0,52388.0,11063.0,26525.0,687900.0,32839.0,40786.0,137416.0,39854.0,25.12,39.82,100336_9598_704508,1676924514092,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1605.0,9870.0,38959.0,25789.0,104460.0,50078.0,6116.0,408529.0,6950.0,254075.0,233341.0,16198.0,34615.0,64689.0,3860.0,4258.0,102614.0,13457.0,191694.0,19243.0,18070.0,135303.0,320220.0,369459.0,52400.0,11065.0,26545.0,688435.0,32835.0,40773.0,137519.0,39832.0,25.1,39.82,100336_9598_704508,1676924515066,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1609.0,9868.0,38992.0,25785.0,104332.0,50084.0,6114.0,409249.0,6949.0,253650.0,233297.0,16196.0,34605.0,64683.0,3855.0,4261.0,102600.0,13454.0,192230.0,19241.0,18071.0,135291.0,319835.0,368937.0,52389.0,11066.0,26582.0,688427.0,32843.0,40759.0,137470.0,39841.0,25.1,39.81,100336_9598_704508,1676924516041,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
