precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,1604.0,9752.0,38744.0,25067.0,102743.0,49489.0,6035.0,402655.0,6934.0,248287.0,227853.0,15636.0,34469.0,64249.0,3846.0,4219.0,101450.0,13271.0,189916.0,19178.0,17710.0,133342.0,314158.0,355852.0,51369.0,10959.0,26109.0,594461.0,32373.0,39353.0,137097.0,39621.0,26.68,36.8,100336_9598_704508,1676925892816,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1603.0,9750.0,38730.0,25060.0,102754.0,49496.0,6028.0,402115.0,6932.0,248189.0,227862.0,15638.0,34465.0,64274.0,3846.0,4219.0,101445.0,13269.0,190034.0,19176.0,17706.0,133407.0,314243.0,355367.0,51361.0,10960.0,26095.0,595681.0,32375.0,39361.0,137100.0,39635.0,26.7,36.79,100336_9598_704508,1676925893790,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1600.0,9749.0,38729.0,25073.0,102739.0,49476.0,6031.0,402228.0,6930.0,248305.0,227906.0,15641.0,34468.0,64240.0,3846.0,4222.0,101441.0,13272.0,190093.0,19175.0,17706.0,133485.0,314118.0,355807.0,51388.0,10958.0,26193.0,594647.0,32379.0,39364.0,137173.0,39603.0,26.71,36.79,100336_9598_704508,1676925894766,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1601.0,9753.0,38732.0,25067.0,102767.0,49509.0,6034.0,403022.0,6933.0,247804.0,228058.0,15637.0,34468.0,64250.0,3844.0,4221.0,101453.0,13273.0,190472.0,19176.0,17711.0,133388.0,314376.0,356090.0,51365.0,10960.0,26183.0,594357.0,32369.0,39353.0,137188.0,39605.0,26.71,36.8,100336_9598_704508,1676925895739,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1602.0,9751.0,38723.0,25056.0,102790.0,49539.0,6031.0,402527.0,6932.0,247254.0,228021.0,15637.0,34464.0,64250.0,3846.0,4221.0,101446.0,13272.0,190001.0,19174.0,17705.0,133478.0,314042.0,355930.0,51375.0,10960.0,26075.0,594525.0,32376.0,39360.0,137144.0,39646.0,26.7,36.78,100336_9598_704508,1676925896714,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1602.0,9754.0,38740.0,25046.0,102757.0,49512.0,6031.0,402416.0,6934.0,248133.0,227876.0,15630.0,34456.0,64253.0,3845.0,4219.0,101441.0,13275.0,190340.0,19174.0,17705.0,133448.0,314114.0,356367.0,51372.0,10960.0,26025.0,594057.0,32369.0,39347.0,137085.0,39644.0,26.7,36.8,100336_9598_704508,1676925897687,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1600.0,9753.0,38734.0,25047.0,102713.0,49549.0,6032.0,402260.0,6932.0,248589.0,227932.0,15638.0,34462.0,64257.0,3845.0,4220.0,101445.0,13272.0,190537.0,19174.0,17710.0,133463.0,313926.0,355896.0,51354.0,10959.0,26118.0,594049.0,32368.0,39336.0,137014.0,39618.0,26.68,36.8,100336_9598_704508,1676925898663,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1604.0,9753.0,38728.0,25057.0,102749.0,49529.0,6031.0,402465.0,6932.0,248094.0,227962.0,15635.0,34465.0,64240.0,3845.0,4221.0,101445.0,13271.0,190382.0,19178.0,17705.0,133426.0,314278.0,355503.0,51371.0,10961.0,26052.0,594880.0,32378.0,39351.0,137050.0,39645.0,26.68,36.79,100336_9598_704508,1676925899638,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1599.0,9754.0,38741.0,25067.0,102723.0,49549.0,6029.0,401895.0,6933.0,248514.0,227951.0,15639.0,34473.0,64244.0,3844.0,4222.0,101441.0,13268.0,190228.0,19173.0,17709.0,133300.0,314262.0,355987.0,51363.0,10958.0,26162.0,594866.0,32376.0,39348.0,137018.0,39606.0,26.66,36.77,100336_9598_704508,1676925900613,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1600.0,9753.0,38740.0,25054.0,102675.0,49516.0,6033.0,402799.0,6936.0,248289.0,228018.0,15637.0,34475.0,64232.0,3843.0,4221.0,101439.0,13268.0,190161.0,19178.0,17705.0,133317.0,314149.0,356351.0,51340.0,10962.0,26118.0,594160.0,32371.0,39341.0,137096.0,39641.0,26.71,36.8,100336_9598_704508,1676925901586,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1601.0,9754.0,38728.0,25052.0,102708.0,49484.0,6031.0,402089.0,6933.0,248378.0,227858.0,15637.0,34464.0,64243.0,3846.0,4220.0,101445.0,13267.0,189963.0,19177.0,17705.0,133287.0,314279.0,356258.0,51378.0,10961.0,26093.0,594365.0,32372.0,39346.0,137102.0,39646.0,26.72,36.78,100336_9598_704508,1676925902562,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1601.0,9752.0,38736.0,25070.0,102735.0,49498.0,6029.0,402778.0,6933.0,247815.0,228019.0,15634.0,34478.0,64213.0,3847.0,4223.0,101435.0,13267.0,190270.0,19177.0,17702.0,133190.0,313836.0,356354.0,51343.0,10963.0,26109.0,594290.0,32370.0,39350.0,137067.0,39602.0,26.68,36.78,100336_9598_704508,1676925903537,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1602.0,9752.0,38733.0,25062.0,102756.0,49489.0,6032.0,403125.0,6937.0,248338.0,227865.0,15632.0,34474.0,64238.0,3844.0,4219.0,101440.0,13271.0,189839.0,19176.0,17699.0,133269.0,314015.0,355886.0,51349.0,10961.0,26087.0,593768.0,32375.0,39341.0,137061.0,39634.0,26.71,36.79,100336_9598_704508,1676925904511,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1600.0,9752.0,38734.0,25060.0,102755.0,49497.0,6033.0,403117.0,6935.0,247572.0,227980.0,15636.0,34479.0,64234.0,3849.0,4221.0,101446.0,13270.0,189713.0,19172.0,17709.0,133408.0,314012.0,355663.0,51350.0,10960.0,26168.0,594284.0,32377.0,39366.0,137108.0,39582.0,26.74,36.81,100336_9598_704508,1676925905486,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1601.0,9754.0,38728.0,25054.0,102727.0,49533.0,6033.0,402195.0,6933.0,248023.0,227823.0,15645.0,34469.0,64230.0,3844.0,4222.0,101437.0,13270.0,190254.0,19175.0,17710.0,133447.0,313805.0,356621.0,51334.0,10960.0,26131.0,594685.0,32374.0,39351.0,137022.0,39617.0,26.71,36.78,100336_9598_704508,1676925906460,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
