precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,4878.0,471775.0,5526.0,222927.0,174987.0,5153.0,66255.0,148232.0,7419.0,216380.0,23343.0,43714.0,32989.0,317248.0,11760.0,46719.0,290694.0,12804.0,117496.0,12711.0,89429.0,27237.0,6904.0,189651.0,91909.0,100373.0,39986.0,54517.0,28428.0,423595.0,20216.0,15774.0,25.29,32.4,100139_3637_0700807,1676925890532,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4879.0,471699.0,5523.0,223222.0,175158.0,5149.0,66155.0,148362.0,7418.0,216296.0,23332.0,43720.0,32996.0,317100.0,11764.0,46694.0,290514.0,12800.0,117537.0,12713.0,89418.0,27218.0,6904.0,189617.0,91943.0,100304.0,39960.0,54512.0,28466.0,423514.0,20218.0,15777.0,25.26,32.38,100139_3637_0700807,1676925892471,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4884.0,472307.0,5521.0,223047.0,175165.0,5154.0,66146.0,148417.0,7418.0,216406.0,23326.0,43720.0,32988.0,317006.0,11760.0,46708.0,290668.0,12809.0,117525.0,12710.0,89421.0,27233.0,6903.0,189630.0,91940.0,100325.0,39958.0,54492.0,28532.0,423485.0,20217.0,15774.0,25.28,32.37,100139_3637_0700807,1676925893442,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4878.0,472332.0,5523.0,222887.0,175121.0,5149.0,66124.0,148287.0,7418.0,216479.0,23332.0,43719.0,32997.0,316957.0,11762.0,46703.0,290827.0,12804.0,117496.0,12710.0,89417.0,27228.0,6907.0,189554.0,91948.0,100294.0,39967.0,54514.0,28551.0,423365.0,20211.0,15776.0,25.27,32.37,100139_3637_0700807,1676925894413,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4882.0,472208.0,5524.0,223215.0,175148.0,5153.0,66155.0,148366.0,7417.0,216143.0,23335.0,43718.0,32996.0,317093.0,11762.0,46704.0,290585.0,12803.0,117510.0,12708.0,89417.0,27248.0,6907.0,189677.0,91936.0,100349.0,39969.0,54472.0,28547.0,423330.0,20209.0,15769.0,25.27,32.38,100139_3637_0700807,1676925895385,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4874.0,472192.0,5524.0,222935.0,175050.0,5150.0,66145.0,148602.0,7416.0,216124.0,23346.0,43715.0,32992.0,316982.0,11763.0,46695.0,290520.0,12803.0,117543.0,12707.0,89411.0,27221.0,6900.0,189587.0,91913.0,100329.0,39971.0,54463.0,28497.0,423434.0,20213.0,15762.0,25.26,32.37,100139_3637_0700807,1676925896356,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4876.0,471761.0,5524.0,222986.0,175099.0,5149.0,66097.0,148302.0,7417.0,216280.0,23333.0,43722.0,32989.0,317030.0,11760.0,46725.0,290247.0,12802.0,117454.0,12703.0,89394.0,27223.0,6904.0,189535.0,91909.0,100300.0,39963.0,54443.0,28434.0,423460.0,20212.0,15769.0,25.29,32.38,100139_3637_0700807,1676925897327,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4881.0,472433.0,5525.0,222746.0,175140.0,5150.0,66174.0,148247.0,7419.0,216380.0,23332.0,43717.0,32993.0,317098.0,11757.0,46707.0,290366.0,12805.0,117520.0,12707.0,89394.0,27239.0,6904.0,189393.0,91898.0,100285.0,39951.0,54428.0,28462.0,423416.0,20217.0,15767.0,25.3,32.37,100139_3637_0700807,1676925898297,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4875.0,472359.0,5522.0,222984.0,175198.0,5151.0,66155.0,148348.0,7416.0,216179.0,23326.0,43736.0,32988.0,316987.0,11761.0,46720.0,290695.0,12805.0,117532.0,12712.0,89396.0,27227.0,6912.0,189500.0,91854.0,100343.0,39954.0,54436.0,28499.0,423380.0,20213.0,15771.0,25.29,32.35,100139_3637_0700807,1676925899270,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4878.0,472762.0,5522.0,222696.0,175160.0,5149.0,66215.0,148317.0,7418.0,216190.0,23333.0,43730.0,32990.0,317065.0,11764.0,46723.0,290435.0,12805.0,117492.0,12708.0,89391.0,27224.0,6907.0,189549.0,91911.0,100353.0,39954.0,54440.0,28430.0,423439.0,20211.0,15766.0,25.29,32.36,100139_3637_0700807,1676925900241,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4874.0,472024.0,5526.0,222960.0,175129.0,5150.0,66162.0,148292.0,7418.0,216297.0,23325.0,43706.0,32990.0,317014.0,11763.0,46713.0,290740.0,12806.0,117414.0,12704.0,89403.0,27220.0,6903.0,189527.0,91908.0,100320.0,39957.0,54498.0,28501.0,423236.0,20207.0,15771.0,25.3,32.35,100139_3637_0700807,1676925901211,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4879.0,472290.0,5526.0,222897.0,175068.0,5150.0,66156.0,148043.0,7421.0,216232.0,23336.0,43717.0,33000.0,317187.0,11763.0,46724.0,290629.0,12805.0,117467.0,12709.0,89418.0,27259.0,6906.0,189412.0,91912.0,100356.0,39961.0,54471.0,28522.0,423302.0,20214.0,15776.0,25.29,32.35,100139_3637_0700807,1676925902183,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
