RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,14716,946802,235149,599270,103690,58651,24367,378581,67696,453604,2000000,74143,10552,608055,135625,222807,160503,171991,139084,194137,219210,117158,32437,141435,27743,161697,34404,18355,1077445,632359,86482,103623,22.68,34.87,999.32,111087.0,-1,baseline
2000000,14684,947356,235423,599131,103822,58530,24347,378955,67701,452946,2000000,74142,10551,608468,135737,222254,160476,172291,139095,194157,218998,117040,32412,141426,27712,161588,34430,18343,1081960,632282,86454,103619,22.67,34.89,999.31,111595.46,-1,baseline
2000000,14675,947116,234593,599037,103804,58491,24344,378859,67703,453019,2000000,74097,10551,608481,135783,222732,160508,172038,139107,194233,219147,117156,32432,141412,27702,161584,34395,18345,1080829,632303,86519,103628,22.68,34.89,999.37,111159.35,-1,baseline
2000000,14686,945230,235213,598947,103727,58514,24356,378946,67760,454838,2000000,74177,10600,608403,135675,222999,160458,172296,138984,194316,219121,117170,32457,141446,27730,161496,34397,18350,1073680,632230,86505,103625,22.68,34.89,999.37,111159.35,-1,baseline
2000000,14691,944618,235888,599005,103759,58518,24362,378767,67733,453743,2000000,74176,10590,608653,135654,223019,160481,172252,139129,194239,219109,117163,32466,141398,27721,161457,34413,18336,1079911,632255,86512,103639,22.68,34.88,999.39,111449.71,-1,baseline
2000000,14693,945976,235454,599212,103774,58567,24354,378794,67752,453111,2000000,74164,10565,609230,135636,223294,160495,172219,139091,194255,219096,117173,32435,141372,27675,161461,34413,18370,1065457,632225,86497,103596,22.67,34.87,999.35,111888.1,-1,baseline
2000000,14684,946342,235804,598895,103773,58507,24313,379077,67718,452943,2000000,74173,10568,608772,135552,223044,160481,172168,139219,194180,218913,117074,32453,141318,27732,161459,34405,18350,1065083,632212,86446,103625,22.67,34.88,999.36,111376.98,-1,baseline
2000000,14677,948292,235845,599050,103828,58489,24321,379143,67750,453508,2000000,74143,10559,608943,135626,223318,160418,172173,139113,194076,218970,117117,32468,141315,27718,161598,34449,18375,1075457,632260,86423,103625,22.67,34.88,999.38,111595.46,-1,baseline
2000000,14703,947953,235451,598961,103855,58615,24347,379172,67729,453649,2000000,74184,10565,608255,135717,222266,160529,172340,139172,194107,219000,117094,32420,141378,27701,161449,34413,18367,1068877,632195,86514,103635,22.67,34.88,999.38,111741.59,-1,baseline
2000000,14698,943580,235697,599175,103896,58619,24311,379041,67756,454615,2000000,74183,10575,608947,135748,221980,160636,172195,139145,194061,219028,117182,32466,141339,27738,161518,34440,18343,1074335,632069,86427,103675,22.68,34.88,999.4,111741.59,-1,baseline
2000000,14677,943892,235157,598698,103759,58639,24345,379001,67751,454704,2000000,74152,10579,608414,135569,222703,160615,172262,139178,194141,219097,117142,32450,141339,27727,161344,34421,18318,1072086,632079,86458,103613,22.68,34.88,999.42,111814.8,-1,baseline
2000000,14684,943276,235805,598536,103797,58716,24367,379157,67736,453667,2000000,74121,10595,608808,135598,222910,160629,172267,139227,194206,219180,117125,32478,141396,27721,161498,34401,18348,1077104,632021,86503,103599,22.68,34.87,999.44,111231.8,-1,baseline
2000000,14703,947088,235530,599160,103760,58724,24333,379064,67695,453870,2000000,74113,10561,609078,135527,222863,160414,172267,139066,194091,219069,117120,32456,141252,27705,161347,34415,18327,1079213,632004,86471,103642,22.67,34.88,999.4,111814.8,-1,baseline
2000000,14666,943766,235500,598771,103831,58668,24340,379129,67698,454690,2000000,74135,10553,608931,135562,221900,160526,172195,139147,194200,219052,117146,32443,141218,27700,161372,34394,18334,1084047,632088,86404,103571,22.67,34.88,999.41,111304.35,-1,baseline
2000000,14693,946379,235722,599170,103854,58644,24338,379310,67699,455207,2000000,74102,10544,609435,135540,222023,160673,172089,139190,194185,219030,117112,32448,141204,27693,161347,34401,18332,1078829,632058,86494,103672,22.68,34.88,999.4,111376.98,-1,baseline
2000000,14680,946833,235732,599413,103798,58635,24356,378970,67710,453836,2000000,74155,10579,609732,135513,222655,160620,172300,139194,194073,219159,117120,32471,141219,27687,161500,34403,18337,1078732,632038,86482,103637,22.68,34.87,999.42,111449.71,-1,baseline
2000000,14700,945887,236076,598778,103836,58717,24392,378703,67702,454225,2000000,74118,10586,608840,135381,223315,160523,172289,139243,194129,218978,117167,32430,141250,27748,161394,34403,18353,1082876,632019,86502,103581,22.68,34.9,999.42,111741.59,-1,baseline
2000000,14694,945223,235886,598554,103835,58640,24360,378932,67706,452446,2000000,74115,10547,608772,135406,222187,160553,171972,139151,194007,219094,117151,32444,141140,27720,161328,34405,18323,1072362,632016,86487,103624,22.68,34.88,999.42,111159.35,-1,baseline
2000000,14673,945344,235778,598747,103935,58655,24344,378786,67731,455345,2000000,74164,10597,608894,135523,221911,160599,172084,139072,194099,219081,117158,32449,141129,27696,161525,34424,18328,1070143,632001,86475,103631,22.68,34.87,999.41,111888.1,-1,baseline
2000000,14696,947375,234955,598218,103896,58495,24349,378943,67711,454047,2000000,74147,10581,608431,135723,222627,160436,172176,139184,194173,219208,117189,32460,141205,27740,161484,34406,18339,1082212,632086,86492,103628,22.67,34.88,999.41,111376.98,-1,baseline
2000000,14705,948828,234748,598529,103864,58595,24356,378932,67706,453201,2000000,74152,10618,609109,135481,222492,160489,172217,139214,194186,219191,117184,32448,141232,27718,161549,34432,18371,1077832,632067,86478,103591,22.67,34.87,999.43,111304.35,-1,baseline
2000000,14698,946025,235123,598588,103790,58565,24372,379049,67748,453682,2000000,74174,10588,607856,135526,222610,160573,172295,139090,194037,219182,117189,32477,141140,27704,161611,34397,18320,1075832,631957,86487,103606,22.68,34.88,999.45,111668.48,-1,baseline
2000000,14673,945878,235031,598321,103864,58674,24328,378927,67715,453698,2000000,74062,10533,608161,135512,222463,160516,172160,139114,194079,219146,117106,32453,141194,27693,161742,34392,18309,1072073,631889,86478,103536,22.67,34.87,999.4,111376.98,-1,baseline
2000000,14714,946606,235169,598455,103815,58644,24337,378624,67702,453253,2000000,74112,10576,607986,135404,223130,160596,172228,139139,194090,219073,117211,32462,141165,27718,161594,34416,18302,1071495,631938,86481,103640,22.68,34.88,999.42,111741.59,-1,baseline
