precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,1591.0,9635.0,38659.0,25567.0,101111.0,49030.0,5953.0,401031.0,6938.0,242047.0,232695.0,14786.0,34443.0,63881.0,3830.0,4179.0,99402.0,13108.0,188364.0,19186.0,17333.0,131726.0,309261.0,338924.0,50366.0,10871.0,25565.0,568128.0,32060.0,37868.0,136509.0,39656.0,25.7,36.44,100336_9598_704508,1676932607214,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1594.0,9636.0,38671.0,25569.0,101168.0,49003.0,5956.0,400876.0,6937.0,241665.0,232731.0,14788.0,34436.0,63875.0,3828.0,4179.0,99427.0,13111.0,188778.0,19186.0,17329.0,131668.0,309473.0,338926.0,50390.0,10870.0,25598.0,568229.0,32055.0,37859.0,136489.0,39657.0,25.68,36.44,100336_9598_704508,1676932608190,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1592.0,9637.0,38651.0,25574.0,101125.0,49019.0,5955.0,400767.0,6935.0,241390.0,232649.0,14785.0,34442.0,63870.0,3831.0,4179.0,99424.0,13112.0,188430.0,19187.0,17334.0,131612.0,309314.0,339656.0,50374.0,10873.0,25577.0,568101.0,32050.0,37854.0,136452.0,39663.0,25.65,36.42,100336_9598_704508,1676932609165,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1592.0,9636.0,38665.0,25574.0,101107.0,49041.0,5953.0,400766.0,6935.0,241719.0,232591.0,14786.0,34441.0,63887.0,3829.0,4180.0,99422.0,13108.0,188312.0,19186.0,17341.0,131755.0,309139.0,339339.0,50375.0,10875.0,25517.0,567690.0,32059.0,37862.0,136516.0,39669.0,25.66,36.42,100336_9598_704508,1676932610135,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1591.0,9635.0,38654.0,25571.0,101082.0,49013.0,5954.0,400472.0,6935.0,241557.0,232643.0,14787.0,34449.0,63881.0,3827.0,4179.0,99420.0,13110.0,187936.0,19181.0,17330.0,131737.0,309337.0,339406.0,50403.0,10872.0,25493.0,567471.0,32054.0,37862.0,136509.0,39645.0,25.7,36.42,100336_9598_704508,1676932611109,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1590.0,9635.0,38650.0,25574.0,101101.0,49019.0,5957.0,400525.0,6938.0,241388.0,232653.0,14784.0,34451.0,63877.0,3830.0,4181.0,99429.0,13111.0,188426.0,19184.0,17327.0,131737.0,309085.0,339201.0,50395.0,10872.0,25539.0,567227.0,32055.0,37854.0,136414.0,39673.0,25.7,36.42,100336_9598_704508,1676932612084,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1592.0,9636.0,38641.0,25577.0,101093.0,49041.0,5954.0,400258.0,6939.0,241315.0,232675.0,14786.0,34451.0,63877.0,3829.0,4180.0,99425.0,13111.0,188254.0,19185.0,17333.0,131681.0,309042.0,339474.0,50373.0,10873.0,25470.0,568065.0,32053.0,37868.0,136487.0,39696.0,25.67,36.43,100336_9598_704508,1676932613060,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1589.0,9637.0,38644.0,25581.0,101162.0,49035.0,5955.0,400528.0,6936.0,241516.0,232549.0,14784.0,34462.0,63892.0,3833.0,4182.0,99433.0,13111.0,188363.0,19183.0,17334.0,131778.0,308991.0,339466.0,50403.0,10872.0,25584.0,568027.0,32057.0,37855.0,136455.0,39670.0,25.67,36.4,100336_9598_704508,1676932614034,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1592.0,9637.0,38661.0,25573.0,101095.0,49024.0,5952.0,400982.0,6938.0,241236.0,232658.0,14788.0,34447.0,63892.0,3830.0,4180.0,99418.0,13108.0,188373.0,19183.0,17332.0,131823.0,309117.0,339230.0,50398.0,10871.0,25602.0,567339.0,32055.0,37850.0,136519.0,39676.0,25.67,36.42,100336_9598_704508,1676932615010,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1591.0,9637.0,38645.0,25561.0,101099.0,49035.0,5955.0,400006.0,6938.0,241288.0,232788.0,14787.0,34458.0,63879.0,3831.0,4177.0,99426.0,13110.0,188769.0,19185.0,17335.0,131682.0,309343.0,338529.0,50417.0,10873.0,25599.0,568126.0,32052.0,37850.0,136412.0,39661.0,25.68,36.42,100336_9598_704508,1676932615985,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1589.0,9636.0,38657.0,25579.0,101129.0,49043.0,5956.0,399924.0,6937.0,241343.0,232725.0,14785.0,34458.0,63900.0,3831.0,4180.0,99412.0,13112.0,188147.0,19184.0,17330.0,131808.0,309187.0,339565.0,50385.0,10874.0,25612.0,567835.0,32055.0,37851.0,136491.0,39654.0,25.68,36.42,100336_9598_704508,1676932616960,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1591.0,9633.0,38647.0,25565.0,101131.0,49072.0,5951.0,400201.0,6938.0,240963.0,232559.0,14785.0,34447.0,63885.0,3828.0,4179.0,99416.0,13110.0,188442.0,19183.0,17330.0,131731.0,309097.0,338115.0,50389.0,10875.0,25591.0,567924.0,32052.0,37850.0,136590.0,39701.0,25.7,36.41,100336_9598_704508,1676932617929,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1590.0,9637.0,38645.0,25577.0,101105.0,49015.0,5954.0,400473.0,6941.0,241394.0,232621.0,14785.0,34446.0,63902.0,3830.0,4179.0,99429.0,13111.0,187737.0,19187.0,17326.0,131744.0,309492.0,338961.0,50360.0,10872.0,25604.0,568158.0,32061.0,37869.0,136384.0,39665.0,25.69,36.4,100336_9598_704508,1676932618904,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1591.0,9637.0,38638.0,25575.0,101160.0,49029.0,5955.0,400404.0,6940.0,241207.0,232663.0,14785.0,34455.0,63897.0,3830.0,4182.0,99424.0,13110.0,188241.0,19186.0,17331.0,131742.0,309671.0,339741.0,50377.0,10874.0,25589.0,567451.0,32056.0,37850.0,136510.0,39701.0,25.68,36.42,100336_9598_704508,1676932619880,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
