RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,14722,945272,234519,608191,104237,58221,24215,377386,67706,455448,2000000,73188,10604,611553,136319,219233,158585,171032,138191,193929,219252,116636,32421,148598,27552,160753,34307,18545,1058435,639853,86108,103460,22.98,35.0,998.68,108543.56,-1,baseline
2000000,14723,944657,233936,608332,104250,58330,24215,377789,67745,456906,2000000,73115,10597,611268,136489,218672,158576,171065,138153,193898,219416,116710,32461,148590,27577,160785,34292,18533,1070793,639906,86091,103476,22.98,34.98,998.7,108612.64,-1,baseline
2000000,14687,948564,233683,608379,104254,58397,24224,377604,67744,456767,2000000,73187,10618,611134,136432,218515,158509,171044,138098,193977,219433,116598,32411,148518,27548,160865,34301,18539,1065001,639937,86095,103473,22.96,34.97,998.68,108268.13,-1,baseline
2000000,14715,945191,234195,608529,104306,58404,24218,377542,67746,455732,2000000,73140,10628,611799,136518,218472,158508,171305,138135,194037,219333,116598,32436,148419,27538,160657,34303,18513,1067949,640139,86111,103552,22.97,34.95,998.7,108612.64,-1,baseline
2000000,14728,945751,233775,608441,104322,58333,24249,377518,67733,455928,2000000,73154,10588,612322,136582,218300,158572,171089,138163,194054,219333,116621,32438,148591,27529,160740,34305,18527,1069475,640138,86149,103491,22.97,34.95,998.7,108405.67,-1,baseline
2000000,14703,946740,233915,608610,104192,58389,24227,377243,67713,455775,2000000,73157,10616,612510,136597,218581,158405,171052,138145,193993,219382,116658,32401,148544,27537,160695,34285,18531,1063128,640174,86171,103483,22.96,34.93,998.7,108405.67,-1,baseline
2000000,14696,951620,233274,607977,104320,58366,24218,377593,67733,456841,2000000,73111,10584,612477,136708,218600,158577,170881,138129,194039,219334,116564,32420,148452,27525,160734,34292,18545,1063764,640213,86149,103493,22.96,34.92,998.7,108612.64,-1,baseline
2000000,14731,949767,233934,607956,104383,58361,24207,377394,67717,456314,2000000,73109,10611,611270,136525,218984,158672,170851,138198,194026,219389,116626,32450,148575,27543,160843,34310,18556,1062007,640199,86173,103499,22.95,34.92,998.67,108336.85,-1,baseline
2000000,14719,950070,233334,607406,104281,58395,24236,377520,67757,456343,2000000,73187,10598,611561,136509,218581,158563,171055,138235,193989,219251,116579,32410,148495,27527,160764,34317,18534,1065671,640254,86199,103491,22.95,34.9,998.65,109800.55,-1,baseline
2000000,14728,951668,233439,607796,104258,58315,24234,377463,67738,456381,2000000,73209,10605,611416,136421,218920,158695,171056,138159,193980,219280,116587,32426,148492,27525,160710,34292,18550,1062716,640423,86188,103511,22.95,34.9,998.67,108751.06,-1,baseline
2000000,14701,949769,233382,608172,104472,58427,24222,377151,67718,455788,2000000,73173,10586,610124,136561,218509,158553,170834,138203,194143,219255,116615,32439,148539,27511,160863,34300,18533,1063218,640382,86128,103504,22.95,34.9,998.69,108336.85,-1,baseline
2000000,14719,946994,233161,608454,104304,58315,24216,377483,67761,456213,2000000,73168,10596,610289,136572,218080,158598,170796,138146,194083,219353,116610,32414,148466,27525,160887,34316,18539,1065861,640470,86149,103521,22.94,34.89,998.67,108474.57,-1,baseline
2000000,14733,947430,233287,607782,104359,58382,24238,377351,67719,456492,2000000,73152,10603,610890,136698,219133,158666,171084,138126,193981,219297,116581,32418,148375,27543,160763,34317,18550,1052919,640481,86158,103552,22.93,34.89,998.69,108612.64,-1,baseline
2000000,14715,945747,233771,607805,104275,58385,24249,377489,67718,456465,2000000,73150,10600,610900,136639,219172,158676,171051,138107,193943,219300,116588,32414,148307,27543,160648,34283,18547,1063645,640425,86167,103530,22.92,34.87,998.64,108820.4,-1,baseline
